ID,Author,Title,URL,SeriesName,Summary,Genres,Score,RatingsCount,ReviewsCount,Pages,PublishedDate,Popularity_ReadingNow,Popularity_Wishlisted,book_id
53491034,s.l. scott,the billionaire's salvation: max,https://www.goodreads.com/book/show/53491034-the-billionaire-s-salvation-max,The Billionaire's Obsession #3,"Billionaire Max Hamilton thought he was finally starting to find contentment, more than two years after losing his wife Mia in a tragic drowning accident.  He'd been reunited with a sister he hadn’t realized existed. Finally he had family again, a reprieve from the pain and loneliness that had haunted him since his devastating loss. Yeah…he was as happy as a man could be, considering he had lost the other half of his soul and most of his heart when fate had torn his wife away from him.  Or so he believed…until the day he rescued a mysterious woman in the park, a female who somehow had managed to reignite a part of him that he thought was long dead... Suddenly, Max's protective, dominant, possessive male instincts flare to life, leaving him at a loss as to how lightning could possibly strike twice in one lifetime. Is he truly being given another chance at real happiness, or would it be dangled in front of him, only to be taken away once again?  Find out by reading The Billionaire’s Salvation, Book 3 in The New York Times Bestselling series, The Billionaire’s Obsession. This is a complete contemporary erotic romance novel with no cliffhangers!","Romance, Contemporary Romance, Contemporary, Erotica, Adult, Erotic Romance, Fiction",4.14,10725,469,175,2013-09-08,3659,2828,53491034
52061964,shain rose,reverie,https://www.goodreads.com/book/show/52061964-reverie,Standalone,"Inception meets The Magicians in the most imaginative YA debut of the year!  All Kane Montgomery knows for certain is that the police found him half-dead in the river. He can’t remember how he got there, what happened after, and why his life seems so different now. And it’s not just Kane who’s different, the world feels off, reality itself seems different.  As Kane pieces together clues, three almost-strangers claim to be his friends and the only people who can truly tell him what’s going on. But as he and the others are dragged into unimaginable worlds that materialize out of nowhere—the gym warps into a subterranean temple, a historical home nearby blooms into a Victorian romance rife with scandal and sorcery—Kane realizes that nothing in his life is an accident. And when a sinister force threatens to alter reality for good, they will have to do everything they can to stop it before it unravels everything they know.  This wildly imaginative debut explores what happens when the secret worlds that people hide within themselves come to light.","Fantasy, Young Adult, LGBT, Queer, Fiction, Mystery, Audiobook",3.45,12342,2356,397,2019-12-03,2282,29500,52061964
25781538,melody anne,the tycoon's revenge,https://www.goodreads.com/book/show/25781538-the-tycoon-s-revenge,Baby for the Billionaire #1,"This is an alternate cover edition for ASIN: B005LVV5LQ  Jasmine Freeman’s world is about to tumble down around her and the one responsible for it is none other than her first love, Derek Titan. She hasn't seen him in ten years, and they are both going to learn the truth of what happened back then.  Jasmine grew up wealthy and oblivious to the destruction her father caused all around him. Derek was from the wrong side of the tracks. In ten years their lives will be reversed. He is now a multi-billionaire tycoon and she works hard, but barely gets by due to her father’s unethical business practices.  Derek comes seeking revenge and instead finds out he has a half grown son and the woman he's been angry with for so many years is not who he thought she was. They both fight against the passion they still feel for each other, but in the end it is irresistible.  Come take the journey with Derek and Jasmine as they rediscover a passion that never died and the lies that kept them apart.","Romance, Contemporary, Contemporary Romance, Erotica, Adult, Fiction, Chick Lit",3.85,22600,1137,283,2011-09-07,3051,8902,25781538
19561986,melody anne,the tycoon's vacation,https://www.goodreads.com/book/show/19561986-the-tycoon-s-vacation,Baby for the Billionaire #2,"This is the second book in the Baby for the Billionaire series. Drew Titan decides it is time to take a vacation at one of his exotic resorts, and ends up literally running into Trinity Mathews while he is surfing. They end up having a steamy romance over the week long vacation, until she finds out he is the resorts owner, and had lied to her. She has sworn off all business men, since she couldn't seem to find one who knew how to remain faithful to her, which is what landed her at the resort in the first place. She goes back home to discover that her first impulsive thing she has done in her life has left her pregnant and alone, that is until Drew finds her and will not go away until she agrees to marry him. Come enjoy the adventures Drew and Trinity take together in this fun filled story that has love, passion, fighting, and making up. Drew's cousins Derek and Ryan add humor and even more love to the adventure, and will leave you wanting a hunk of your own.Coming in October, the final story in the series, The Tycoon's Proposal.","Romance, Contemporary Romance, Contemporary, Erotica, Fiction, Adult, Chick Lit",4.08,10160,339,222,2011-09-22,1333,2866,19561986
19619918,melody anne,the tycoon's proposal,https://www.goodreads.com/book/show/19619918-the-tycoon-s-proposal,Baby for the Billionaire #3,"Nicole Lander has no choice but to contact Ryan Titan, the boy she had loved beyond compare when she was a teenager. Her sister was in desperate need of a heart operation, or she would not live more than six months. Nicole had lied to  Ryan when they were teen's because she had not wanted him to find out about the abuse she was going through from her father. When Ryan Titan gets the call from Nicole, needing his help, he is ecstatic. He would finally get to exact his revenge for her dumping him for not being good enough for her. He will help out her sister, but she will pay him back every night until he is done with her. The problem is that he has never felt about any other woman the way he feels about Nicole, and his revenge is turning into him wanting to walk her down the aisle.  This is the final book in the Baby for a Billionaire Series. I truly hope you have enjoyed the Titan family. It is hard for me to say goodbye to them.  Please see the other Series & Billionaire Bachelors, where you are sure to fall in love with the Anderson Family.","Romance, Contemporary Romance, Contemporary, Erotica, Fiction, Adult, Abuse",4.08,8816,273,250,2011-10-15,1202,2456,19619918
