Author,Book Title,Chapter,Sentence
Tia_Louise,Boss of Me,29,Why does that feel even worse?
Jessica_Clare,Beauty and the Billionaire,17,"“You’ll probably scream my name a few times.” “Oh, wow,” she said, dazed at his words."
LJ_Shen,The Villain,2,It was what I admired about him the most.
Rose_Shain,Between Commitment and Betrayal,40,"More than that, though, I’m forever in love with you."
Ana_Huang,Twisted Lies,50,My senses went on high alert.
Pippa_Grant,Mister McHottie,15,"“You need help,” Zeus says to me ."
KA_Linde,The Wright Boss,3,Even if the last thing I wanted to hear about was Miranda.
Alexa_Riley,Everything for Her,17,Oz: I miss you.
LJ_Shen,The Hunter,31,"I get into line, tugging open Mom’s purse from her bag as I wipe my tears away with my sleeve."
Sam_Crescent,Billionaire Hero,12,"He
hated working late, as most of his nights were spent with Mandy."
Melanie_Harlow,Call Me Crazy,6,"All the drapes were closed, only one floor lamp was on, and she’d turned on the gas fireplace, so the room was warm and intimate."
Jennifer_Probst,The Marriage Trap,11,•   •   • The sun exploded in burnt-orange radiance over the horizon.
L_Steele,The Billionaire's Fake Wife,8,"""Bite me, motherfucker."""
Melanie_Harlow,Tease,9,“I even came in here while you were downstairs turning off the lights to steal a shirt.
Kendra_Little,Bedding the Billionaire,13,She had all along.
Stella_Rhys,Bad Boss,6,Hanna.” I could feel the attention of the others as he greeted me by name.
Leslie_North,The Billionaire's Sexy Rival,4,"""Or at least you were on-track — until you let Poppy Hanniford get under your skin ."""
LT_Swan,The Stopover,1,"“If you were at the desk, would you upgrade women to impress them?” “Absolutely.” I smirk."
Sam_Crescent,Billionaire Hero,3,"Still, nothing of
her."
Diane_Alberts,Beauty and the Boss,6,That was perfect.” In more ways than one.
LT_Swan,The Casanova,37,“This is Kathryn.
Melanie_Harlow,Irresistible,17,"If you want to be with me, you’ll have to put up with my dirty mouth.” She giggled."
Pippa_Grant,Crazy for Loving You,42,“I’ve hurt you.” “You’ve hurt a lot of people.” “I—I merely wanted you to calm down.
LT_Swan,The Takeover,29,Then we went for a walk and had lunch in a café on the edge of a park and read the papers.
Rose_Shain,Between Love and Loathing,23,It was the first concern I’d witnessed over my health in a while.
Louise_Bay,Park Avenue Prince,19,Grace had unexpectedly changed things in small ways and big ways.
Melanie_Harlow,Tease,20,“It’s almost not even worth the money.” I rolled my eyes.
Ann_Cole,Mr. Mysterious In Black,10,And I keep denying you what you want.” Natalio pressed down on my bud with his thumb and I moaned again.
L_Steele,The Billionaire's Christmas Bride,23,Does he have a sixth sense that he can focus on simultaneously wrapping his dick and reading my expression?
LJ_Shen,The Villain,21,"Now, Paxton’s door taunted me."
Pippa_Grant,The Last Eligible Billionaire,38,"Eating kids is frowned upon, and adults can get rather chewy.” “No, you goofball, the summer camp ."
Ana_Huang,King of Wrath,29,"The next, I was on all fours, my hands and knees pressing into the rough black carpet covering the floor."
Anne_Melody,The Tycoon's Proposal,3,"He had to admit he was impressed how she handled the man, letting him know she was unavailable, while still being polite."
GT_Geissinger,Melt for You,34,"When we’re alone and the door has closed behind the last person, Portia and I engage in a staring duel."
Diane_Alberts,The Prince's Bride,9,"Couldn’t shut my mind off.” “And did something trigger this night of unease?” he asked, his voice soft as he rubbed his wrinkled forehead."
L_Steele,The Billionaire's Christmas Bride,7,What the hell?
Meghan_Quinn,So Not Meant To Be,4,“Would you guys like the check?” Helix asks.
Sandi_Lynn,Carter Grayson,42,"I think you are, Zoey.” She grinned."
LJ_Shen,The Monster,22,"If you want me to retreat, you need to make it worth my while.” Vasily stroked his chin, considering my proposition."
Jessica_Lemmon,The Billionaire Bachelor,4,"“I don’t know how brilliant it was since I walked back freezing and soaked to the bone.” Merina yawned, then drank the coffee she needed more than her next breath."
Jennifer_Probst,The Marriage Arrangement,7,"Ah, the sfogliatelle ."
Diane_Alberts,Beauty and the Boss,17,He wasn’t with her—and he wanted Maggie to come home to him.
Jennifer_Probst,The Marriage Trap,8,"She reached out to touch him, but he moved too fast."
GT_Geissinger,Ache for You,13,I’m relieved when I hear a quick step approaching.
GT_Geissinger,Melt for You,28,"My other grandmother is in perfect health, but you wouldn’t know it by the way she carries on."
Jessica_Clare,The Wrong Billionaire's Bed,3,This was just like every other time.
Ann_Cole,Love Has a Name,25,And I busted into a million smithereens.
Louise_Bay,Park Avenue Prince,22,"Maybe that’s why I can’t get through,” I asked as Harper handed me a glass of wine and my cell."
LT_Swan,The Stopover,22,I check my phone .
L_Steele,The Billionaire's Secret,47,She’s…fine.
Sara_Cate,Highest Bidder,37,Why couldn’t you just ask me?” “I don’t know.
Sam_Crescent,Billionaire Hero,3,To take some time away.
Jessica_Clare,Beauty and the Billionaire,9,“You derailed mine.
Sarina_Bowen,Hard Hitter,23,He set his bag on a fussy upholstered bench and walked over to the heavily draped window to peer out at the city lights.
LT_Swan,The Takeover,39,You get to live with them—that’s enough.” “Mom!” Fletcher cries from the back.
Melanie_Harlow,Call Me Crazy,2,But that was before I proposed.
JS_Scott,The Billionaire's Obsession_Max,8,"It was something she actually enjoyed doing, and the reason her hands were rough and not manicured."
LJ_Shen,The Villain,14,"I took a step back, my eyes never leaving his."
LJ_Shen,The Monster,17,"“I will not have you parading around in skimpy clothes in close proximity just to make me suffer.” “Yes, you will,” I said airily."
Max_Monroe,Scoring the Billionaire,20,"“It was so nice to meet you, Mr. Lancaster.” “Kyle, doll, and the pleasure is all mine.” She smiled genuinely, the beam most women gave to flirtatious old men with something extra, and took off down the hall at a speed-walk."
KA_Linde,The Wright Mistake,38,“You sound like a good mom.” Sutton beamed at that.
LT_Swan,The Stopover,10,His fingers slide through the lips of my sex.
Max_Monroe,Banking the Billionaire,30,“I can’t tell you how excited I am to finally meet the woman who can keep my Thatcher in line.” “Finally?” I blurted without thinking.
Sarina_Bowen,Pipe Dreams,9,I’m sorry I made you the collateral damage to my lifetime of fuckups.” The waiter chose that moment to show up with Lauren’s soda.
Jessica_Lemmon,The Bastard Billionaire,16,He was the one who’d introduced her to what she’d been missing.
Max_Monroe,Banking the Billionaire,1,Fuck that.
Lisa_Kleypas,Sugar Daddy,1,"""That's Tamryn."
Kendra_Little,Billionaire Bad Boy,19,"Hell, what was she doing?"
Catharina_Maura,The Wrong Bride,10,I can’t imagine finding someone I’d actually want to marry.
Katy_Evans,Mogul,2,“Where are you going?
Anne_Melody,The Tycoon's Revenge,12,"He’d fallen so hard for her when he was a teenager, because even though she was the wealthiest kid in town, she’d never lorded it over anyone, unlike her father."
Louise_Bay,King of Wall Street,3,"Nice, but did it really have to be this loud?"
Lisa_Kleypas,Sugar Daddy,1,"There would be flash-flooding, and her low-slung Pinto wagon wasn't going to make it to the family clinic."
Lisa_Kleypas,Blue Eyed Devil,3,"Without a word, he went to the kitchen and brought back two shot glasses and the bottle with its distinctive black label."
Jessica_Lemmon,The Bastard Billionaire,3,“Sort of.” “Very well.
L_Steele,The Billionaire's Christmas Bride,1,"Get your mind out of the gutter, you slut."
Max_Monroe,Scoring the Billionaire,22,"She looked gorgeous in a knee-length merlot-colored dress, and my eyes flared as she bent forward and her breasts filled the V-neck of the top even further."
Lisa_Kleypas,Blue Eyed Devil,1,"How long into the cycle do you ovulate?"""
KA_Linde,The Wright Brother,33,All my fears and worries stripped away.
KA_Linde,The Wright Brother,2,"“Have another drink, Austin."
Leslie_North,The Billionaire's Sexy Rival,7,I'm smiling at nothing!
Max_Monroe,Banking the Billionaire,27,We didn’t have to wait long as the train pulled up and the doors opened.
LT_Swan,The Takeover,9,"“He’s a very busy man, and for him to donate a week of his time is almost unheard of in the corporate world."
Lisa_Kleypas,Smooth Talking Stranger,16,"""Joe Travis,"" he said, shaking my hand firmly."
Catharina_Maura,The Wrong Bride,67,"“It is.” “I’ll be honest with you, Raven."
Katy_Evans,Tycoon,22,Your turn.
Tia_Louise,Make Me Yours,29,My shoulders rise and fall rapidly.
Rose_Shain,Between Love and Loathing,23,"Instead, I coughed a little, clearing a tickle in my throat and shrugged."
Laurelin_Paige,Brutal Secret,9,“Touché.
L_Steele,The Billionaire's Secret,16,She’s managed to pull up her panties in double-quick time—impressive.
Ana_Huang,Twisted Lies,31,"The weight on my chest eased, leaving me light-headed and dizzy."
L_Steele,The Billionaire's Secret,1,I blink; tear my gaze away from the stranger.
Meghan_Quinn,So Not Meant To Be,5,"Did you go out with her once?” “Nope.” I shake the mouse on my desk, waking up my computer."
JS_Scott,The Billionaire's Obsession_Max,3,"His wife was back, and nothing was taking her away from him again."
LJ_Shen,The Hunter,18,A pure-hearted rake.
L_Steele,The Billionaire's Fake Wife,14,"Only Sin-fucking-Sterling, douche-canoe of the first degree would pull a cheap shot like this."
Laurelin_Paige,Dirty Filthy Billionaire,15,But at what cost?
Kendra_Little,Suddenly Sexy,16,"""Sorry, I wasn't expecting anyone."""
Sarina_Bowen,Brooklynaire,16,Then I get up and snatch it from her.
KA_Linde,The Wright Brother,9,"God, did he have another smile?"
LJ_Shen,The Monster,5,They shouldn’t be.
Laurelin_Paige,Brutal Secret,1,"I’m listening!” Actually, what I’m doing is clinging onto his shirt with both hands, trying to shake the information out of his mouth like he’s a piggy bank."
Melanie_Harlow,Call Me Crazy,20,"Want a beer?” “Yes, please."
Jessica_Clare,Beauty and the Billionaire,7,All the prior letters had been penned by one hand—Lula to Benedict.
Laurelin_Paige,Brutal Secret,29,"“Our generation is trying our best not to follow in their footsteps, aren’t we, cuz?"
GT_Geissinger,Burn for You,40,Cody.
LJ_Shen,The Monster,3,Buy yourself something nice.
Jennifer_Probst,The Marriage Trap,9,The shattered pieces of his life lay broken around him.
GT_Geissinger,Ache for You,10,I’m stubborn.
GT_Geissinger,Melt for You,25,Why ‘naturally’?
Stella_Rhys,Dirty Deeds,9,You were supposed to be my wingman tonight.
Ann_Cole,Love Has a Name,10,"But you keep doing … um, things like that to me.” “Doing things like what?” His eyes danced with humor."
Sarina_Bowen,Brooklynaire,5,Not that I’m surprised.
KA_Linde,The Wright Boss,34,Nothing was going to stand in my way.
Lisa_Kleypas,Smooth Talking Stranger,13,I jus' need to .
Tia_Louise,Boss of Me,11,"I’ve got beer here in the cooler.” He lifts the lid, and I see Coronas mixed with Budweiser’s and Bud Lights."
Meghan_Quinn,A Not So Meet Cute,18,"“Yeah, you do realize I have a private jet, right?"
Catharina_Maura,The Wrong Bride,63,"I’m your sister , Hannah."
GT_Geissinger,Melt for You,7,I freeze.
L_Steele,The Billionaire's Secret,55,For hell’s sake.
Lisa_Kleypas,Blue Eyed Devil,2,"They agreed on natural textures and tones, and furniture with tailored lines."
Rose_Shain,Reverie,19,No one wants to know how you’re actually doing when they ask the question.
Rose_Shain,Between Love and Loathing,30,"I don’t have a sweater to cover them up.” The voice that left his body was deep and gravelly, almost near a growl full of frustration."
Catharina_Maura,The Unwanted Marriage,59,"Now, all I can think about is the disappointed frown she’d have on her face if I smiled back at the lady in front of me."
Leslie_North,The Billionaire's Ex-Wife,8,"He surged forward and pressed her hard into the wall as he came; Trinity barely noticed the cold, unyielding surface of it anymore."
GT_Geissinger,Ache for You,18,His hands are flattened on the wall on either side of my head.
Leslie_North,The Billionaire's Ex-Wife,4,"Trinity glanced at her watch, and Sam's eyes fell to her wrist."
L_Steele,The Billionaire's Fake Wife,53,"She'd seconded Saint's idea of holding a quick press briefing where we'd play the role of happy couple—no strike that—where we'd be ourselves, and introduce FOK Media properly to the public."
Laurelin_Paige,Brutal Billionaire,19,"She walks past me, passing under the set’s constructed cherry blossom tree, all the way to the skirt of the stage."
Katy_Evans,Boss,16,"“Work experience, maybe."
Ana_Huang,Twisted Lies,35,It’s kind of sexy.” More than sexy.
Stella_Rhys,Dirty Deeds,14,"Rounding the corner, I walked us away from the window and out of sight of my captivated audience at the bar."
Laurelin_Paige,Brutal Secret,9,"And with a date, it seems."
Catharina_Maura,The Temporary Wife,35,"“You know what, Valentina?"
Jessica_Lemmon,The Bastard Billionaire,21,But he also honored her right to leave—her right to walk away when he didn’t give her enough.
Annika_Martin,Most Eligible Billionaire,3,“I really just expected money for fancy food and vet bills.” Henry pulls out his phone.
Sara_Cate,Eyes on Me,20,Something different.
LJ_Shen,The Villain,12,Feel something.
Ann_Cole,Mr. Mysterious In Black,22,Love.
Annika_Martin,Breaking the Billionaire's Rules,18,"“Random partners are better for team building,” I say, on full Max Hilton arrogance mode."
Sara_Cate,Eyes on Me,11,"“Okay, your dad and I are going out to eat and then to Mike’s,” Laura says as she kisses my cheek."
Rose_Shain,Between Commitment and Betrayal,8,I fell to my knees and whispered to wake up.
Meghan_Quinn,So Not Meant To Be,6,"So sexy that at times, I notice how attractive Huxley is."
Ana_Huang,King of Wrath,33,Fuck.
LT_Swan,The Takeover,23,"He looks on in a strange detached state, his face full of awe."
Lisa_Kleypas,Blue Eyed Devil,4,"""You can run, Hardy Cates, but you can't hide forever."""
Leslie_North,The Billionaires Pregnant Fling,7,Zelma nodded.
Jessica_Clare,Stranded with a Billionaire,7,Something was wrong.
Louise_Bay,Duke of Manhattan,18,"“I don’t think you did,” I replied."
Ann_Cole,Love Has a Name,10,The cocky bastard did indeed take me down.
Laurelin_Paige,Brutal Secret,19,Wonder whose…” He grins when I smack him lightly on his chest.
Stella_Rhys,Dirty Deeds,9,“Are you really going to miss out on Iain’s birthday party that I planned just to spend an hour asking this girl about her day?” Drew demanded.
Laurelin_Paige,Brutal Billionaire,19,“I don’t know why you think I’m still playing that game with you.” “I don’t know why you still think it’s a game.” I take a menacing step toward her.
Jennifer_Probst,The Marriage Bargain,3,The laughter.
Jessica_Clare,Stranded with a Billionaire,9,"It’s not my place to speculate—” “Audrey,” Brontë interrupted."
Louise_Bay,Duke of Manhattan,24,I liked the idea that a work event would only be manageable if I was with him.
Jennifer_Probst,The Marriage Arrangement,9,"“Do you want to know what Mama Conte said to me?” he challenged, his face inches from hers."
Ana_Huang,Twisted Love,4,"â€œItâ€™s my friendâ€™s farewell party.â€ She followed my gaze toward Josh, who was basking in female attention of his own."
KA_Linde,The Wright Mistake,37,I had a foundation to continue my path and grow into the person I’d always wanted to be.
L_Steele,The Billionaire's Fake Wife,46,A cardiac attack.
Sarina_Bowen,Hard Hitter,12,He was cold to me for a while after that.
Meghan_Quinn,A Long Time Coming,3,"Should I wear it out there, or should I tell him first?"
Leslie_North,The Billionaire's Ex-Wife,3,"""This is exactly the indulgent approach Eddie's used to receiving!"
Ann_Cole,I Choose You,4,"Of which he’d obediently sat throughout, nodding, “Yes, Father” and “I understand, Father.” He was skidding past thirty-two years of sinning, and his father could still humble him like a lad."
Kendra_Little,Bedding the Billionaire,2,"Soft,
succulent, sexy."
LJ_Shen,The Villain,18,"You missed our weekly hangout last week, and I got worried."
Alexa_Riley,Everything for Her,14,I chew the delicious blueberry muffin and swallow before asking him my question.
Ana_Huang,Twisted Lies,5,I had a better chance of getting hit by a meteorite than I did running into Christian Harper twice in the same week outside the Mirage.
GT_Geissinger,Ache for You,22,How big he is.
Kendra_Little,Suddenly Sexy,12,"Got it?"""
Laurelin_Paige,Dirty Filthy Billionaire,8,"He can
mix business with pleasure all he wants."
Anne_Melody,The Tycoon's Revenge,9,"“I kinda like it, though,” he whispered to Derek, thinking she wouldn’t be able to hear."
Tia_Louise,Make Me Yours,37,"I’m in the arms of my family, and even in a messy bun and sweat pants, it doesn’t get any better than this."
Alexa_Riley,Everything for Her,12,I guess I won’t be seeing Oz tonight.
Sarina_Bowen,Brooklynaire,13,But he started it .
JS_Scott,The Billionaire's Obsession_Simon,28,"“Like this?” he asked, his tone demanding."
KA_Linde,The Wright Boss,38,“How could it not?” Heidi asked.
LJ_Shen,The Hunter,7,"His brown hair was trimmed to neat perfection, his eyes golden and flaxen, just like his nickname— mo órga ."
Penny_Wylder,The Billionaire’s Virgin,1,"But me, I’m going on two years now."
Sarina_Bowen,Hard Hitter,2,A decade of yoga might not even make a dent in Queen Lauren’s steel facade.
LT_Swan,The Stopover,21,"Molly, Aaron, and I are having a crisis breakfast meeting tomorrow, and hopefully together we can brainstorm a plan of action."
LT_Swan,The Stopover,2,My.
KA_Linde,The Wright Boss,17,"When the economy had tanked, he’d almost lost the bar, and he had resorted to illicit means to keep afloat."
Sandi_Lynn,Carter Grayson,32,"There will be a seat available.” He
cocked his head and he pursed his lips."
Pippa_Grant,Crazy for Loving You,32,"No, I see…a J?"
LT_Swan,The Takeover,9,"“I kind of like you being jealous,” he whispers."
LJ_Shen,The Villain,10,Byrne and his puppet are out of the picture for good.
Kendra_Little,Billionaire Bad Boy,19,She turned to face him fully.
Catharina_Maura,The Wrong Bride,60,I don’t want to bear witness to the inevitable rekindling of their relationship.
Pippa_Grant,Crazy for Loving You,40,I know when a woman’s gotten skittish.
LJ_Shen,The Hunter,31,"I snap the mirror shut and tuck my hands into the pockets of my white hoodie, where I find something small and hard."
Meghan_Quinn,So Not Meant To Be,22,"Plus, there’s always that worry in the back of my mind that isn’t sure if he’s at the same place as I am."
Max_Monroe,Banking the Billionaire,43,"She held my eyes with absolutely no embarrassment, confirming she knew precisely what I was thinking."
JS_Scott,The Billionaire’s Obsession _Sam,8,“Make me come.
Annika_Martin,The Billionaire's Wake-up-call Girl,23,Lizzie Cooper.
L_Steele,The Billionaire's Secret,27,When he's like this...
Sandi_Lynn,Chase Calloway,14,"Laughing,
dancing, and having ridiculous conversations."
Louise_Bay,King of Wall Street,6,You’re not fucking me.” I nudged her knees wide with my legs and pushed into her.
Catharina_Maura,The Wrong Bride,14,"She’ll be there, Grams.” Grandma smiles at me."
JS_Scott,The Billionaire's Obsession_Simon,26,And again.
Louise_Bay,King of Wall Street,3,And the problems of all the guys she dated.
Laurelin_Paige,Brutal Secret,23,I tilt my face up to study her.
L_Steele,The Billionaire's Secret,20,"If I hadn’t been there to catch her, she’d have hurt herself."
Penny_Wylder,The Billionaire’s Secret Babies,7,"It’s the most beautiful cock I’ve ever seen, curved slightly upward at the end, and already glistening with a drop of pre-cum."
Diane_Alberts,Beauty and the Boss,4,“Why do you ask?” “You’re acting strange.” Did that mean she wasn’t acting like the million other women he’d practiced his way too smooth moves on?
Louise_Bay,Duke of Manhattan,4,“I think I got used for sex last night.” John covered his mouth as he guffawed like a teenager discovering porn in his dad’s closet.
Melanie_Harlow,Tease,8,"“We’ll work it out.” “But Cloverleigh must be totally booked for the season,” Frannie said with concern."
Ann_Cole,Love Has a Name,31,Because you are mine.
Jessica_Clare,Beauty and the Billionaire,7,He has a story.
L_Steele,The Billionaire's Secret,51,"I wanted to push you along, make you come to your senses and own up to your feelings."""
Leslie_North,The Billionaire's Sexy Rival,9,"""I know."""
Pippa_Grant,The Last Eligible Billionaire,36,"Yes, whimper."
Laurelin_Paige,Brutal Secret,15,Which is not a sign that we’re in sync or that the universe wants us together.
Meghan_Quinn,A Not So Meet Cute,12,"Tantalizing me, her fingers caress her cleavage."
LJ_Shen,The Hunter,13,You’d be a fool to take anything this family has to offer you.
LJ_Shen,The Villain,19,"“Anyway, point is, you say you’re immune to feelings, and I call bullshit on it.” Hunter laughed."
KA_Linde,The Wright Boss,40,And the world stopped.
Laurelin_Paige,Brutal Billionaire,21,"I saw the news just after you left, so I got myself together and came after you.” Wow."
Lisa_Kleypas,Blue Eyed Devil,2,"""Go on,"" Vanessa prompted, as I hesitated before lifting the lid."
Max_Monroe,Scoring the Billionaire,23,"But as much as she loved routine, I loved her more , and it was never quite so easy for a mother to let go."
GT_Geissinger,Burn for You,43,“You know what I think?” he said in a ragged whisper.
Pippa_Grant,Crazy for Loving You,35,"And how quickly we’re going to get you away from my mother, because that’s in everyone’s best interest."
Meghan_Quinn,A Long Time Coming,16,"That seems absurd to me.” “Well, good thing it’s not your wedding,” Brian shoots back."
Sandi_Lynn,Chase Calloway,8,"I went over to his apartment Friday morning to surprise him for his
birthday and I found him in bed with my best friend, Krista.” “Oh,
dear."
Sara_Cate,Eyes on Me,42,This is like all of the best sensations rolled into one.
Max_Monroe,Scoring the Billionaire,33,T he New York wind whipped around my face as I opened the door to Gramercy Tavern.
Sam_Crescent,Billionaire Protector,10,"There were so many people who had so much stuff that had no memory, and yet Anna had none."
GT_Geissinger,Burn for You,30,I’ve brought the contract.
Penny_Wylder,The Billionaire’s Virgin,2,"Really, could be anything."
Jessica_Lemmon,The Billionaire Bachelor,12,"“I have a suggestion, though."
Rose_Shain,Reverie,25,"I saw the light and dark of the world and focused on where the light came from, how it energized itself, and how I could produce light in the dark."
Meghan_Quinn,So Not Meant To Be,22,I see you.
LJ_Shen,The Monster,10,"Becca clutched tighter onto Sam’s arm, treating him as a human life preserver, not knowing his job was to make people drown."
Jessica_Lemmon,The Bastard Billionaire,2,I asked not to be interrupted.
Ana_Huang,Twisted Love,45,"Sheâ€™d been the best mentor I could ask for during the fellowship, and now I considered her both a friend and role model."
L_Steele,The Billionaire's Christmas Bride,51,How much do I need her in my life?
Annika_Martin,The Billionaire's Wake-up-call Girl,11,“This is a wake-up-call service.
Max_Monroe,Banking the Billionaire,8,"He stopped asking questions then, eyes too distracted by my chest."
Max_Monroe,Scoring the Billionaire,21,But was I pissed?
Jessica_Lemmon,The Billionaire Bachelor,20,I feel it.” “You can’t…” Finally.
Ann_Cole,Love Has a Name,32,He merely gazed up at me with eyes that revealed nothing.
Pippa_Grant,Crazy for Loving You,25,"“Put out food and water, pet them some, toss them a ball, make sure they get plenty of time to do their business in the yard, and they’ll grow to love you unconditionally.” “So that’s where my parents went wrong.” Oh, hell."
KA_Linde,The Wright Mistake,20,“I kind of like the guy.” “So begrudging.” “I really want to hate him.” “But you don’t?” “Nah.
LT_Swan,The Stopover,24,What kind of psycho rips roses to shreds with her bare hands while screaming like a lunatic?
Meghan_Quinn,So Not Meant To Be,12,"“I don’t know, plant some sort of chip in my bedroom so you knew what I was doing at all times.” “Jesus.” He laughs."
KA_Linde,The Wright Mistake,21,It’s just wrong.” “I know.
L_Steele,The Billionaire's Secret,11,"""Do it."""
Katy_Evans,Boss,13,I feel like newborn Bambi.
Melanie_Harlow,Tease,8,To the left was the room where I’d slept last night.
Meghan_Quinn,A Long Time Coming,13,"Lia: You’ve lost the last three times, so I didn’t know if you wanted to change it up."
LT_Swan,The Casanova,20,. .
LT_Swan,The Stopover,17,"“Hello, sweetheart.” He smiles softly."
Laurelin_Paige,Brutal Secret,21,Reid!” I ignore her attempts to get my attention.
Tia_Louise,Make Me Yours,11,“I think it’s great.
Annika_Martin,Most Eligible Billionaire,22,You sweat blood for this company.
Tia_Louise,Make Me Yours,4,Not interested.
Rose_Shain,Reverie,40,"The cold reddened his cheeks just right, and the wind tousled his dark hair to look unruly."
LT_Swan,The Stopover,12,I’ll be there in half an hour.” “But .
L_Steele,The Billionaire's Fake Wife,9,Weston straightens.
GT_Geissinger,Ache for You,13,"If you want to honor your father’s memory, let someone run it who can make it the success it deserves to be.” This is the second time he’s made me feel like I’ve taken a punch to the gut."
Catharina_Maura,The Temporary Wife,8,I fucked up.
Annika_Martin,Breaking the Billionaire's Rules,22,I didn’t know what to do.
Ana_Huang,King of Wrath,37,“Why are you so invested in my relationship with Vivian?” Luca’s grin disappeared.
Ann_Cole,Mr. Mysterious In Black,1,"She was a bank investor; he could remember only that much and no more, for he hadn’t been interested in what she had to say when she’d blabbered all night at the Gala."
Alexa_Riley,His Alone,13,"“Ryan,” I whisper, and I let my head fall back against the wall."
L_Steele,The Billionaire's Secret,21,Hard.
Max_Monroe,Scoring the Billionaire,8,Jensen called out from the pitch about how good Georgia must have looked when she sexted.
Ana_Huang,Twisted Lies,17,"Out of habit, I pulled out my phone and tapped into my profile."
Jennifer_Probst,The Marriage Trap,9,“What is wrong with you?
Annika_Martin,The Billionaire's Wake-up-call Girl,5,No cheerful greetings or questions or requests to put things on my calendar.
Jennifer_Probst,The Marriage Arrangement,7,"Tonight, she would dream of seething dark eyes, rich panforte , and soul-stirring, carnal kisses."
Sara_Cate,Highest Bidder,3,"The auction is just about to start, but there aren’t any girls on stage yet."
Ana_Huang,Twisted Lies,41,"Every thrust sent me sliding toward the edge of the seat, and my world devolved into a haze of sex, sweat, and heat."
Annika_Martin,Breaking the Billionaire's Rules,26,"The next day I can’t get off of work, but I pull together another great lunch—a Korean fried chicken sandwich with spicy dressing that has some of the buildings abuzz."
Annika_Martin,Most Eligible Billionaire,18,“So.
Rose_Shain,Between Commitment and Betrayal,24,"She waited, her eyes trying to cut through to the truth."
Stella_Rhys,Sweet Spot,30,"“You know the answer to that,” he muttered, twisting his gorgeous features and letting out a jagged groan."
Sam_Crescent,Billionaire Protector,6,"For this once she was going to take the support and care that Russ was showing her, and embrace it."
Rose_Shain,Between Love and Loathing,34,“Downloading the book to my Kindle.” “What for?
Annika_Martin,Most Eligible Billionaire,36,"But seriously, do they not watch TV?"
Ana_Huang,King of Wrath,12,On the engagement.” My glare could’ve set the room on fire.
LJ_Shen,The Hunter,12,"Although, let it be known, I’d be happy to eat you out whenever you please.” She yelped in agony."
Penny_Wylder,The Billionaire’s Virgin,5,"“Leave it in until you get inside,” he orders."
Sam_Crescent,Billionaire Beast,2,They were so plump and soft.
Jessica_Clare,The Wrong Billionaire's Bed,3,A feminine giggle touched her ears.
Jessica_Lemmon,The Bastard Billionaire,20,Reese took a sniff at the inch of liquid in the bottom.
L_Steele,The Billionaire's Secret,44,His blue gaze burns into me with an intensity that makes my heart lurch.
JS_Scott,The Billionaire's Obsession_Max,8,"Without really thinking about her actions, she went to the dresser, picked up her wedding ring and slipped it on her finger."
L_Steele,The Billionaire's Fake Wife,11,"You enjoy showing off your cock?"""
Ann_Cole,Love Has a Name,27,"At this, the delivery guy tosses the package in the air and takes off at lightning speed down the street, running past his truck and feeling his body in the process, checking if he got shot."
Katy_Evans,Mogul,13,He opens the gate for me and leads me up the steps to the front door.
Diane_Alberts,An Accidental Date with a Billionaire,17,"She’s just a friend, a good one.” She stared."
JS_Scott,The Billionaire’s Obsession _Sam,13,All of this.” She gestured generally around the room.
LJ_Shen,The Hunter,23,And if I say yes?
Jessica_Clare,The Wrong Billionaire's Bed,7,She wanted to do it again.
Max_Monroe,Banking the Billionaire,40,“Yeah.
Ana_Huang,Twisted Lies,28,"My father’s skin had leached of color, and my mother’s mouth formed a surprised red O."
Louise_Bay,Park Avenue Prince,21,"I looked around, but no one was doing anything."
Meghan_Quinn,So Not Meant To Be,2,"And time is the one thing in life you can’t get back.” “Yes, I know.” Lottie stands from the bed and ushers me toward the door, but before she can push me out, I turn toward her and grip her arms."
LJ_Shen,The Villain,9,We promised each other we would never let one another marry anyone for anything other than love.
Jennifer_Probst,The Marriage Bargain,10,"Her breasts rose against her fleece top, unbound."
Penny_Wylder,The Billionaire’s Secret Babies,3,"I lean closer to him, unable to help myself."
LT_Swan,The Takeover,3,"“I’m already dreading it.” “Eep, I’m so excited.” She flaps her hands around and rushes out of the office."
Ana_Huang,King of Wrath,7,“His security team once hospitalized someone who tried to break into his house.
Ana_Huang,King of Wrath,20,"Just like that, the tension dissipated and conversation resumed."
Sara_Cate,Praise,12,And it’s not too seedy that we would feel uncomfortable bringing the girls here.
Leslie_North,The Billionaires Pregnant Fling,2,He signaled to the watching bartender.
Catharina_Maura,The Temporary Wife,67,"“Valentina, where did you get that?” She stares down at the ruby encrusted jewelry set in her hands, her gaze bittersweet."
Melanie_Harlow,Tease,22,Mine broke.
Catharina_Maura,The Temporary Wife,44,"It’s one thing to hear degrading comments about my dad, but it’s even worse now that he knows who my father is."
Louise_Bay,Park Avenue Prince,6,And I was proud that Grace Astor Fine Art had been able to launch his career.
Meghan_Quinn,A Not So Meet Cute,20,wails.
Max_Monroe,Tapping The Billionaire,14,"At least, I thought I was nodding."
Jessica_Lemmon,The Billionaire Next Door,13,I’ve got it.
Meghan_Quinn,A Long Time Coming,13,came to the conclusion that I have feelings for Lia.” There’s silence.
Pippa_Grant,Crazy for Loving You,28,She sighs and rolls her eyes.
