Author,Book Title,Chapter,Sentence
Ana_Huang,King of Wrath,29,"For the first time, I understood what being part of a real engaged couple felt like, and it was strange and beautiful and terrifying all wrapped into one."
Leslie_North,The Billionaires Pregnant Fling,11,"“All this will go in the classic six .” “What do you mean?” Margot stared at him, uncomprehending, and Eddie closed the laptop slowly ."
Sarina_Bowen,Brooklynaire,24,And much of the developing world .” Rebecca snorts.
Louise_Bay,Duke of Manhattan,25,"She wouldn’t have signed the divorce papers without asking me, would she?"
KA_Linde,The Wright Brother,25,We had a few drinks.
Ana_Huang,Twisted Lies,49,Silence pulsed for an extra beat before Kage and I pulled our guns and fired at the same time.
Annika_Martin,Breaking the Billionaire's Rules,5,"Have I finally put poor, wholesome, wide-eyed Rollins over the edge?"
Diane_Alberts,Beauty and the Boss,4,"Or do you need to continue your little pep talk to yourself first?” “I’m good, thank you,” she managed to say with her head held high."
LT_Swan,The Takeover,4,. .
Ann_Cole,Mr. Mysterious In Black,15,"“My God, I’m starving.” My lips curled in a smile, then we burst into giggles which stopped abruptly when Geo Lee glanced over at us in suspicion from the far end of the room where he was engaged in deep conversation on his phone, chatting at bullet speed about models and runways."
Ana_Huang,Twisted Love,38,"Low and hollow, almost lifeless."
Kendra_Little,Bedding the Billionaire,3,"Kissable
lips."
Lisa_Kleypas,Smooth Talking Stranger,10,.
Leslie_North,The Billionaire's Sexy Rival,6,"William remained in the elevator, watching her take the long walk down the lobby and out the revolving glass door."
Louise_Bay,King of Wall Street,15,"You’re a beautiful, bright, accomplished woman."
Penny_Wylder,The Billionaire’s Virgin,1,“—body is going to cut you slack.
Sarina_Bowen,Brooklynaire,32,"“We’ll get ‘em next year,” I say."
GT_Geissinger,Burn for You,24,"“You’re unbelievable.” He reached up to tuck a stray lock of hair behind my ear, but I swatted his hand away."
Laurelin_Paige,Brutal Secret,19,A shiver of pleasure works its way through me.
Jessica_Lemmon,The Bastard Billionaire,24,"She really should have grabbed her coat on her way out, but there hadn’t been a lot of decision-making going into her process."
Max_Monroe,Banking the Billionaire,9,"“Well, I guess,” I corrected, “she actually fucked me."
Jessica_Clare,The Wrong Billionaire's Bed,15,The elevator shuddered just as the power went out.
JS_Scott,The Billionaire's Obsession_Simon,28,"Something I crave.” She crawled across the bed, between Simon’s bound legs."
Max_Monroe,Tapping The Billionaire,24,And I have a feeling it has a lot to do with this pretty lady here.” Bob nodded in my direction.
Alexa_Riley,Devotion,8,Looks like my hand will have to do one more time.
L_Steele,The Billionaire's Christmas Bride,7,"""You sure?"""
Jessica_Lemmon,The Billionaire Bachelor,20,She’d crossed the finish line.
Sarina_Bowen,Hard Hitter,34,"And that look said, get her a car ."
LJ_Shen,The Hunter,31,I want to step inside and run until I’m in the depth of the woods.
LT_Swan,The Takeover,13,whatever this is .
KA_Linde,The Wright Boss,6,"I tapped out a message to Landon, letting my anger guide me."
Kendra_Little,Bedding the Billionaire,3,"Abbey's sour mood melted and she laughed, a throaty
laugh that bubbled up from deep within."
Katy_Evans,Mogul,9,And available?
Pippa_Grant,Mister McHottie,26,"No, I don’t touch the prude ."
Jessica_Lemmon,The Billionaire Bachelor,10,But Merina wasn’t like him.
Jessica_Clare,The Wrong Billionaire's Bed,11,"“Everything okay?” she asked, taking a bag of groceries from her twin."
Sara_Cate,Highest Bidder,42,"So, that’s exactly what I do."
Lisa_Kleypas,Smooth Talking Stranger,3,"He'd been a kind and rational presence in our household, and even that short time of living with him had shown me that not all adults were like Mom."
GT_Geissinger,Ache for You,1,"I’m just about to tell Jenner that when the wedding coordinator bursts into the room in a flurry of flailing hands and breathless gasps, her dark hair frizzing in the August humidity."
Rose_Shain,Between Commitment and Betrayal,40,I needed to handle this on my own so my baby and I could have a clean start.
Alexa_Riley,Everything for Her,25,I should’ve known I wouldn’t be able to go slow with her so close.
Pippa_Grant,The Last Eligible Billionaire,5,"“It’s been seventeen minutes,” Mr. Crankypants says."
Ana_Huang,Twisted Lies,15,"“You got it,” Kage said."
Rose_Shain,Between Love and Loathing,16,"“So, how did you fix it?” “Fix what?” “The flooring?” I asked, because I was curious how he navigated those things he didn’t plan for, how I would handle them."
Jessica_Lemmon,The Billionaire Next Door,3,The man stood.
Katy_Evans,Boss,15,A white Range Rover.
L_Steele,The Billionaire's Fake Wife,40,Sinclair echoes my indignance.
L_Steele,The Billionaire's Fake Wife,44,There’s another note stuck to the side of the plate.
Meghan_Quinn,A Long Time Coming,18,"Her hair isn’t wet, but little droplets careen down her chest."
Sam_Crescent,Billionaire Hero,12,"Robert had been a
test."
Sarina_Bowen,Hard Hitter,18,"“Ah,” she gasped as he teased her with light, glancing touches."
Melanie_Harlow,Tease,3,A fraud.
KA_Linde,The Wright Brother,10,"“Well, hurry up."
Alexa_Riley,Everything for Her,23,"“I don’t know.” She looks away, and I see the tears roll down her cheeks."
Jessica_Lemmon,The Bastard Billionaire,13,"“We’re not used to Eli having anyone—I mean, anything —to do,” Tag teased."
KA_Linde,The Wright Brother,17,"His tux was perfectly in place, and if I hadn’t just seen the raw and wild man beneath, I’d never have known that he’d just fucked my brains out."
Laurelin_Paige,Brutal Secret,10,She’s trying to compete with my mother.
Meghan_Quinn,So Not Meant To Be,14,awkward.
Ann_Cole,Love Has a Name,6,"Lovello’s presence was commanding, imposing, intimidating."
LJ_Shen,The Villain,7,Minka was pleasant enough when I stopped by her house with a marriage offer earlier today.
GT_Geissinger,Melt for You,4,“I’ll definitely be there.” “Good.
Annika_Martin,The Billionaire's Wake-up-call Girl,17,Where is your hand right now?” I hesitate.
L_Steele,The Billionaire's Secret,28,"""Wha…what are you going to do?"""
Stella_Rhys,Sweet Spot,12,"Pinching the bridge of my nose, I tried to remember what Lia had told me barely a few hours ago."
LJ_Shen,The Villain,5,There weren’t many things I hated more than people.
LJ_Shen,The Villain,2,"Please,” I croaked."
Laurelin_Paige,Brutal Secret,28,Fuck her and then what after that?
Max_Monroe,Scoring the Billionaire,26,"That’d I’d put business before them, that I’d thought I could have everything, and that I was self-fucking-important enough to think the world would wait for me."
KA_Linde,The Wright Mistake,24,I signed the paper and handed it back to the guy.
Stella_Rhys,Sweet Spot,20,I can smear your reputation fast.” “Can you?” I wasn’t even faking my boredom.
Stella_Rhys,Sweet Spot,13,“And why do they turn the heat up so high in this damned office?” “I don’t know.
Meghan_Quinn,A Not So Meet Cute,2,"Dave, isn’t that exciting?” “That really is.” Dave’s face morphs from unsure, protective boyfriend to . . ."
Laurelin_Paige,Brutal Billionaire,38,"Then, he’s on me."
Stella_Rhys,Bad Boss,15,I knew that he made me realize the full capacity of what my mind and body could feel.
Sarina_Bowen,Pipe Dreams,23,"“But if Shelly were still alive, Elsa would not be acting this way."
Diane_Alberts,Beauty and the Boss,4,“Thanks.
Ana_Huang,Twisted Lies,32,“I’m ready.” * * * CHRISTIAN Work kept me preoccupied for most of the Hawaii trip.
Rose_Shain,Reverie,41,"Every time after, nothing."
Sandi_Lynn,Chase Calloway,3,"“Madeline,
this is Kinsley."
GT_Geissinger,Melt for You,35,"Got yo BACK, muthafucka I be WITH ya, muthafucka We be gangstas, muthafucka, for LIFE!"
Catharina_Maura,The Unwanted Marriage,2,"Perhaps she’s just gotten used to this, or maybe she simply doesn’t care about my wellbeing."
Alexa_Riley,His Alone,11,"I’m obsessed enough to know that he was standing beside me the whole time I watched their limo leave, but I thought I could walk away without incident."
Jessica_Lemmon,The Bastard Billionaire,15,"When anxiety didn’t lodge his throat, he counted it as progress."
Ana_Huang,King of Wrath,25,"Newsflash, having money doesn’t absolve you from consequences."
Lisa_Kleypas,Sugar Daddy,2,"This was the longest I'd ever dated someone, and I liked the security of it."
Sara_Cate,Eyes on Me,18,"“Do you like it?” he asks suddenly, and I’m caught off guard."
JS_Scott,The Billionaire's Obsession_Max,3,She shook her head slightly.
Diane_Alberts,Beauty and the Boss,17,Some big league heavy hitter in New York paid off our debt and is letting us keep the farm.” She waved the paper again.
Sarina_Bowen,Hard Hitter,5,Christ .
Lisa_Kleypas,Smooth Talking Stranger,3,"You've put on weight, Ella."
LT_Swan,The Stopover,10,I giggle.
LT_Swan,The Stopover,4,“I want to know why you won’t go out with me.” My face falls.
L_Steele,The Billionaire's Fake Wife,55,"""It's okay, Sin."""
Sara_Cate,Eyes on Me,4,"Then we normally get to the sexy stuff, if work doesn’t get in the way."
Anne_Melody,The Tycoon's Vacation,5,She’d just demand of her body to respond to him.
GT_Geissinger,Ache for You,16,I dare you!
KA_Linde,The Wright Boss,22,"“Oh,” Heidi said."
Ana_Huang,King of Wrath,3,"Dante and I belonged to tangential social circles, but we’d never officially met."
Max_Monroe,Banking the Billionaire,24,“I trust you.” I tilted my hips and encouraged him deeper.
Jessica_Lemmon,The Billionaire Next Door,10,"She wasn’t wearing a sexy, sleek dress, but the stretch pants and long sweater paired with a knee-high pair of boots made her look cozy and cute."
L_Steele,The Billionaire's Christmas Bride,44,"""Weston?"""
Ana_Huang,Twisted Lies,29,"“Not threatening, sir."
Melanie_Harlow,Tease,6,Like that you’re greedy or a scammer or you cheated somehow.
Stella_Rhys,Bad Boss,6,But then I felt the hush fall over the small space.
Meghan_Quinn,So Not Meant To Be,14,"Still enjoying being alone with her man, Jeff, in their house?” I chuckle."
Sarina_Bowen,Hard Hitter,20,"“Hi,” she said while handing over her credit card."
Meghan_Quinn,So Not Meant To Be,2,"He won’t use it on me anymore even though I’m begging desperately for it.” Keeping my expression neutral, I say, “Isn’t that lovely."
KA_Linde,The Wright Boss,27,"“I miss him,” I finally admitted."
Annika_Martin,The Billionaire's Wake-up-call Girl,38,"“He’s up soon, I think.” “How’s he been?” I whisper."
KA_Linde,The Wright Mistake,37,She bit her lip and then glanced down at my mouth.
Melanie_Harlow,Call Me Crazy,7,“You can have your own bedroom here.
Sandi_Lynn,Jamieson Finn,16,"Back in
New York, I rarely drove."
Sarina_Bowen,Brooklynaire,18,“Okay.
Jessica_Lemmon,The Bastard Billionaire,8,But it doesn’t mean you have to adhere to the rules they set before you left.
LT_Swan,The Stopover,22,“Thank God.” “What?” I mouth.
Stella_Rhys,Sweet Spot,4,Right?” “Right.
Max_Monroe,Tapping The Billionaire,33,"Determined, I sunk into my seat, reclined the back, and forced my eyes closed."
Lisa_Kleypas,Blue Eyed Devil,2,another .
Tia_Louise,Make Me Yours,5,"“Nice to meet you, Ruby Banks.” Right as I say the words, it clicks."
Jessica_Clare,Stranded with a Billionaire,14,“Just because we’re a couple doesn’t mean we have to be together every moment.
Louise_Bay,Duke of Manhattan,29,“Life doesn’t work out like that.” “Mom and Dad worked out like that.
Ana_Huang,Twisted Love,44,The games.
Leslie_North,The Billionaire's Sexy Rival,12,"""What act?"
Alexa_Riley,Everything for Her,43,"“Oh, to be five and for this to be the toughest decision of the day.” I laugh, placing my hand on top of Henry’s head."
Diane_Alberts,Beauty and the Boss,15,“I’ve hidden the truth from everyone.
L_Steele,The Billionaire's Secret,24,I am going to punish her for what she’s doing to me.
Sara_Cate,Eyes on Me,14,"You clearly do other things, right?"
Sarina_Bowen,Pipe Dreams,34,"Yet if Coach Karl had his way, he’d be on the next plane to Michigan."
Sara_Cate,Highest Bidder,24,I want you to teach me everything.” I have to force myself to swallow.
Lisa_Kleypas,Blue Eyed Devil,4,I asked.
GT_Geissinger,Burn for You,39,"I praised him with such loud, wanton moans I probably scared Droopy Dog half to death as he heard the echoes down the halls."
GT_Geissinger,Ache for You,32,.
Melanie_Harlow,Irresistible,12,"Sitting down with you, just the two of us."
Meghan_Quinn,So Not Meant To Be,23,Did he even sleep here?
Sara_Cate,Eyes on Me,16,Just the memory of his lips against my skin and the frantic need in the way he dropped to his knees sends butterflies straight to my core.
Pippa_Grant,Crazy for Loving You,47,Heh.
Lisa_Kleypas,Sugar Daddy,3,Okay.
Max_Monroe,Banking the Billionaire,20,Thatch: What are your plans today?
L_Steele,The Billionaire's Secret,21,"""They did what?"""
Alexa_Riley,Everything for Her,31,At least then I knew you were okay.
Melanie_Harlow,Irresistible,22,But I did what I thought was right.” “I never wanted to be your charity case!” she cried.
LT_Swan,The Takeover,8,"“Tristan,” I whisper."
L_Steele,The Billionaire's Secret,41,"She takes a few steps forward, her gaze fixed on me."
Stella_Rhys,Dirty Deeds,12,“You know I can’t do this with you.
Annika_Martin,Most Eligible Billionaire,19,He brushes a lock of hair over my shoulder.
Melanie_Harlow,Call Me Crazy,10,"Fucking Bianca was supposed to satisfy an urge, not create a bigger one."
LJ_Shen,The Villain,31,One of dozens of Venuses who arrived in the same number.
Ann_Cole,Love Has a Name,13,"That’s all.” Having a sudden loss of appetite — and self-control — I dunked the food from my plate in the bin, then tossed the dish in the sink."
Ann_Cole,Love Has a Name,31,So the barking that I’d been hearing all week was actually real.
Sarina_Bowen,Hard Hitter,34,"And leave me the hell alone.” He swallowed, and she saw a flicker of a shadow cross his face, but it was gone before she could name the emotion."
Sara_Cate,Praise,5,"He’s tall, with a bulky frame and tan, sun-kissed skin."
JS_Scott,The Billionaire's Obsession_Max,9,"In fact, he’d never actually been drunk, which may be the reason he was having such a hard time deciding whether or not he truly was intoxicated."
Sarina_Bowen,Brooklynaire,15,“I need to forget it.
LJ_Shen,The Monster,13,The Porsche trudged through gravel and sleet the last few miles to get to the front door.
Sara_Cate,Eyes on Me,4,"He used to come to the lake with us every summer, but then one summer, about ten years ago…he just stopped."
Rose_Shain,Between Love and Loathing,24,"I can’t thank you enough for your help with this problem.” “This problem?” “Well, your request for that mold removal was, I will say, a bit concerning, as I didn’t have the means to accommodate you."
Sara_Cate,Highest Bidder,32,And not alone.
L_Steele,The Billionaire's Christmas Bride,60,My heart stutters.
Jennifer_Probst,The Marriage Trap,10,Maggie reminded him of the same thrill.
Jessica_Clare,Stranded with a Billionaire,9,The clothing was elegant and yet casual.
