book_id,B1_attraction_chemistry,C_explicit_eroticism,D_power_wealth_luxury,F1_sadness_grief,G_courtship_rituals_gifts,L_vices_addictions,M_health_recovery_growth,H_domestic_nesting,I_humor_lightness,J_social_support_kin,K_professional_intrusion,Q_miscommunication,Q_repair,R2_alpha_guarding,R_jealousy_possessiveness,S_scene_anchors,H1_love_over_sex_log,H3_luxury_saturation,H3_love_depth,H3_interaction,H4_protect_over_jealous_log,H5_dark_over_tender_log,Q_repair_over_miscomm_log,H1_chemistry_over_sex_log,H1_tender_over_sex_log,H1_vows_over_sex_log,H4_tender_over_alpha_log,H5_trauma_over_safety_log,H5_anger_over_tender_log,C_explicit_eroticism_END,G_courtship_rituals_gifts_END,H1_chemistry_over_sex_log_END,H4_protect_over_jealous_log_END,K_professional_intrusion_END,L_vices_addictions_END,M_health_recovery_growth_END,Q_repair_END,Q_repair_over_miscomm_log_END,R2_alpha_guarding_END,R_jealousy_possessiveness_END,S_scene_anchors_END,B1_attraction_chemistry_END,D_power_wealth_luxury_END,F1_sadness_grief_END,H_domestic_nesting_END,I_humor_lightness_END,J_social_support_kin_END,Q_miscommunication_END
104659050,0.08343709683576611,0.06912375006124911,0.04155679426000346,0.008711622426356968,0.012050106872745135,0.035249162858413674,0.015153090184535882,0.145422125352671,0.018037653737709627,0.04380702012041677,0.03471741690194025,0.02233764489392545,0.03542070472523589,0.008439311650215045,0.006193212313750547,0.053254629325365656,,0.04155679426000346,,,0.3094038750185941,,0.46100662656835745,0.18819215757132168,,,,,,0.10262165509379567,0.02290355228630067,-0.037038850749872676,0.6404710879095559,0.04810760289186905,0.1221802455379214,0.009597677436359201,0.07431937518367854,0.5982559180027458,0.001966652611258078,0.0010360396631279038,0.09958475299990117,0.09889016158963115,0.07298668834259246,0.00443293242614506,0.20173086392711362,0.00546440454331204,0.08813842530200844,0.04085808618940156
11266880,0.0646729530742782,0.05883261589088362,0.038918319860617515,0.006982261100811071,0.007322674315117862,0.03128761761562391,0.013612586984304792,0.14114938121176904,0.00992008455134271,0.03932217508780212,0.037678643546965436,0.018512209927492404,0.028327077567869223,0.011381121919854974,0.007850974916916756,0.046812063533237816,,0.038918319860617515,,,0.3712787898350296,,0.4253689256042845,0.09464515008245522,,,,,,0.08816284207695096,0.002552727026632409,0.32501137071308994,0.6194041337093923,0.05690081557265675,0.05076486712724701,0.03879180218891671,0.051290335950403367,1.3993711860451272,0.0032278639728221736,0.0017369847119527466,0.06998951747898001,0.12202184678080026,0.0942801503451264,0.007233559008197407,0.1722079102366588,0.008065532959501291,0.03918943309799791,0.012655243642838114
123257687,0.05625359039187737,0.04142117871517447,0.05291823630445155,0.006775260522280634,0.008034652615246145,0.03101806958310349,0.012887923994343969,0.1447587172206412,0.010043679565730797,0.040406915516696014,0.04079041928276896,0.020817182706236444,0.028128564612055786,0.011903781998659681,0.009385386348491497,0.04881538072160336,,0.05291823630445155,,,0.2376797892909588,,0.3009943712598244,0.3060711895779944,,,,,,0.04543815826655175,0.02113399901788832,-0.15806743497939868,0.6647985043990579,0.059012397503853176,0.010718251672673536,0.004349060090882986,0.03856505453624044,-0.7806591098160287,0.0030213511669433973,0.0015536284158219162,0.07684888923503087,0.038794599110086786,0.16307591390914947,0.003981325447042963,0.22507862513660515,0.026660298096941728,0.18016879567568378,0.08418524806065096
123446478,0.0653256774495419,0.057876106779619685,0.04434376249748046,0.006622796542796769,0.01205358864917123,0.03394763610541285,0.012803719655442672,0.16140835842110834,0.013750172184396926,0.04005198194662419,0.03579667495647043,0.01684023182894617,0.031214857311132597,0.01155100895394558,0.008465847931385313,0.05258759527884586,,0.04434376249748046,,,0.3107010629033917,,0.6170960577270588,0.12107857561689883,,,,,,0.09362837895615053,0.018946432878866333,-0.4962988190585369,0.336341854755132,0.055388008156802955,0.028255952061488107,0.07078398948311886,0.04551568483055421,2.556240616076991,0.04897979162952422,0.03498984160919993,0.08590736833811291,0.05699866513041819,0.05670589651068254,0.002537336407647211,0.25276023891349353,0.009211894365751363,0.03556378892208147,0.003530908379317496
127305713,0.05714263497562363,0.043056145602436105,0.0513185422436464,0.006057737452208071,0.006759369690022075,0.03087607293164102,0.012704331723406934,0.15589977066588304,0.010602302613372718,0.04206995502540395,0.03982974377216281,0.017451663365421165,0.026222396856096897,0.012097844271039446,0.008632267428614398,0.04771671561661006,,0.0513185422436464,,,0.3374868869937213,,0.4071597566529297,0.2830398091370596,,,,,,0.024363907383715532,0.02468849396246642,1.147128156983038,1.6617606784159817,0.01255036232458121,0.07650769818915731,0.03864141291549603,0.054162848387605524,0.3850547732521443,0.03747099323856602,0.007111352979794665,0.08740884501759777,0.07672740908745036,0.03963569678951023,0.0027478731854714646,0.2623444139059125,0.021213340732577177,0.05441711225193675,0.036852806436518844
149105520,0.07925678066585184,0.05152795792347206,0.04510846443071003,0.007101732202265763,0.004776606646077503,0.03339908187719107,0.014227046489267222,0.16002173225838276,0.014105087074486884,0.038291635872162964,0.04436363095635875,0.015310278508113465,0.025750415791813967,0.010347142054945795,0.007406700967289526,0.04593715857257578,,0.04510846443071003,,,0.3342868616552801,,0.519899893580281,0.4305616472669058,,,,,,0.07244287522409845,0.0007708553058483413,0.46437151975463786,0.5784211358964608,0.05725352407132582,0.04346898040701828,0.016308191797901196,0.003415143112199668,-2.422108569523672,0.002581148690500287,0.0014470252652746714,0.08569236323848153,0.11525821634642222,0.05444282876257215,0.01226383370507642,0.14526962970437138,0.005465766180402453,0.0218606746943105,0.03849755619817615
15197,0.07434062745726595,0.06307570802253529,0.047309427891393585,0.007557290732037745,0.011956724352963183,0.04142562763657855,0.014725116924487854,0.151309319065434,0.011936261441071875,0.039446879562567275,0.03622888608977351,0.016440658896154998,0.029752295309327922,0.009234154964933796,0.006636001317091909,0.059440471804634874,,0.047309427891393585,,,0.33035714107668834,,0.5931216019280487,0.16431948331788027,,,,,,0.02996862929089511,0.000980053639756681,1.0134506004151662,0.6201357746270464,0.04497174166765998,0.015918331692073334,0.03376873986517338,0.037532127795117984,-0.3753524108032744,0.002649132186641867,0.0014244303182854392,0.04010748533833359,0.08256806646046805,0.05665885646441868,0.004324333369455227,0.17213238545215717,0.0057977432144603125,0.06950391192343182,0.05462862738461323
161913,0.057308621521657645,0.06822505366020837,0.0765922443092023,0.0077997417503570116,0.01361296763010697,0.03370234824995057,0.01662674321761366,0.17316392529207197,0.013307331661621305,0.05764008406893079,0.03439886607412046,0.02999269309506952,0.02921139808509206,0.008680142244879275,0.005318466329183999,0.049510068790772375,,0.0765922443092023,,,0.4897801307879641,,-0.026393918280561035,-0.1743579858893578,,,,,,0.047627605244140045,0.04841279152580492,0.9247833463623758,0.570292298251629,0.08835509233625913,0.11122499235888027,0.037102658252443264,0.0364773170703057,0.5880717399652151,0.0033143310591879304,0.001873356100591651,0.11215621208073799,0.12008604773602642,0.19836947585728273,0.0060432547152665965,0.3465870056582942,0.005980165920529172,0.029300725588627653,0.020258955274378074
17561022,0.05664251255538428,0.09748020860775787,0.045397575179963706,0.00801743132821426,0.01635766779432045,0.047315576358387595,0.015407287856843154,0.14909763646643925,0.012762981579190128,0.06974000040182668,0.03732955718495237,0.013725992306863317,0.02930923421451125,0.009847211595782678,0.006966741165646823,0.06186797275902649,,0.045397575179963706,,,0.3459987821062098,,0.7585726098018606,-0.5428821642826178,,,,,,0.24340465221868227,0.02985612248363278,-1.5074296474814857,0.559107763193035,0.03793127695512568,0.08379221034274968,0.04296551436770558,0.018816651358802606,-0.9624997444339565,0.003225860543499938,0.0018438573057003567,0.05512418139421076,0.05390812479294593,0.10012932640756152,0.008631412837202132,0.13459545255929842,0.006884853921996779,0.17778727082406745,0.04926799979392995
1756703,0.07635718723417534,0.03820245060753876,0.052820810858116914,0.005658922949490146,0.0038541897517787244,0.026647524467524736,0.010507737981890813,0.13478478745966258,0.011658173540170957,0.03931628113312446,0.040060108690002386,0.01694778126259289,0.02572876650193196,0.011722216672251718,0.007988481174612134,0.044207908114159554,,0.052820810858116914,,,0.3834453832528757,,0.4174526219883754,0.692509417271908,,,,,,0.019882212303089793,0.003621644557741652,2.5734965290284464,0.5767376594655707,0.08868514599903672,0.015430372143930157,0.02456696539922031,0.018753741091488738,1.1759937445497646,0.003667346772837199,0.0020596128333808133,0.11658909089112249,0.26069951642804684,0.03340962644603324,0.003776293395607283,0.19460352329670663,0.01916769268492172,0.030086657733438216,0.0057850672774659925
18692741,0.050729954167488336,0.08647803434768414,0.03908469636494651,0.007219915140047558,0.016661929614827552,0.06156008036538325,0.016963857289683814,0.2008353037769063,0.0119032119764072,0.03865495333951962,0.03211545438892087,0.01470740640150208,0.023936238717182635,0.00938870476335007,0.005949545913758839,0.05534307916292759,,0.03908469636494651,,,0.45613088556279724,,0.48701615729169445,-0.5333657469323958,,,,,,0.11031554502146558,0.017409481573899516,-0.6461726415489384,0.5286391474546477,0.03351406175344335,0.10155414249333519,0.054066594405637006,0.010892360448240341,-0.398437903783587,0.0028712102583615825,0.0016918994517146208,0.05774601148862124,0.05781012745409408,0.050082879066579225,0.006050055668416437,0.5040348006027692,0.004911999646889755,0.02871335939226186,0.01622461837318437
201413413,0.04995162597851949,0.07876168973829849,0.03198743454046423,0.007547695438283881,0.007806414658411727,0.027573790784563144,0.01596358478977697,0.13508834166063574,0.013261990463849547,0.03502371825357355,0.05798603477899068,0.013980207397348296,0.02808813827539213,0.010301854507538104,0.007300196158447821,0.0452443214321782,,0.03198743454046423,,,0.34438280144168587,,0.6976688642481284,-0.45536432840288343,,,,,,0.10615831433912648,0.015984266862736227,-0.7599158672909794,0.5043099412341343,0.037852357301004856,0.0478788164492803,0.05060536199166799,0.03704189562188059,1.58516381872785,0.004804074117326194,0.0029008908045799245,0.05570707454466431,0.049650324355506724,0.07247028720555165,0.004535438852521757,0.17567490965764432,0.007910071135457074,0.02725833253843564,0.007589616121425057
20346544,0.042402165733832556,0.09230657751555396,0.12131654802021453,0.007133389354685108,0.013750087922600466,0.08037021819199776,0.015024227446154443,0.16050414960119216,0.009398002660060226,0.12023817321209407,0.02760724361291146,0.012074580220778118,0.027997962327503373,0.007005898102956654,0.005357460891479446,0.05086977909717069,,0.12131654802021453,,,0.2682183203683177,,0.8409821999620526,-0.7779032117477671,,,,,,0.12339366868043698,0.0037658763237761374,-1.2547005023957225,0.08798612835575526,0.030785289292768796,0.11292236269200802,0.008003909262796417,0.03751018732574326,1.6581845806079691,0.021704184930529412,0.019876034906668012,0.09066419812291855,0.0351863767975272,0.15237528171750125,0.005594228135566767,0.2805472265324174,0.011194146339194296,0.22234543400435286,0.007144298847174288
208153130,0.08397062442145671,0.06866204403054978,0.040260279924364505,0.00790973084989641,0.010637093797782136,0.03589515508116523,0.01257397592387956,0.14898507351746704,0.013666345940382352,0.033238368915298765,0.033514196722614756,0.014216602882990117,0.025819150516580805,0.019032719655610774,0.01584217552160664,0.05205677645189058,,0.040260279924364505,,,0.1834732837875066,,0.59667437832297,0.20126781537492455,,,,,,0.11413299189657021,0.02851502523291767,-0.0073174248369642925,0.7629640413703864,0.041680118448391486,0.07860516924328566,0.021495577129331166,0.06437356159014317,0.8634066097291351,0.026970347838988558,0.012575262015345659,0.08761458142666523,0.11330087318554538,0.07278214873124673,0.007653437163388388,0.17530896661351777,0.006314124078557917,0.03214378165027673,0.02714723239167157
