book_id,B1_attraction_chemistry,C_explicit_eroticism,D_power_wealth_luxury,F1_sadness_grief,G_courtship_rituals_gifts,L_vices_addictions,M_health_recovery_growth,H_domestic_nesting,I_humor_lightness,J_social_support_kin,K_professional_intrusion,Q_miscommunication,Q_repair,R2_alpha_guarding,R_jealousy_possessiveness,S_scene_anchors
104659050,0.08343709683576611,0.06912375006124911,0.04155679426000346,0.008711622426356968,0.012050106872745135,0.035249162858413674,0.015153090184535882,0.145422125352671,0.018037653737709627,0.04380702012041677,0.03471741690194025,0.02233764489392545,0.03542070472523589,0.008439311650215045,0.006193212313750547,0.053254629325365656
11266880,0.0646729530742782,0.05883261589088362,0.038918319860617515,0.006982261100811071,0.007322674315117862,0.03128761761562391,0.013612586984304792,0.14114938121176904,0.00992008455134271,0.03932217508780212,0.037678643546965436,0.018512209927492404,0.028327077567869223,0.011381121919854974,0.007850974916916756,0.046812063533237816
123257687,0.05625359039187737,0.04142117871517447,0.05291823630445155,0.006775260522280634,0.008034652615246145,0.03101806958310349,0.012887923994343969,0.1447587172206412,0.010043679565730797,0.040406915516696014,0.04079041928276896,0.020817182706236444,0.028128564612055786,0.011903781998659681,0.009385386348491497,0.04881538072160336
123446478,0.0653256774495419,0.057876106779619685,0.04434376249748046,0.006622796542796769,0.01205358864917123,0.03394763610541285,0.012803719655442672,0.16140835842110834,0.013750172184396926,0.04005198194662419,0.03579667495647043,0.01684023182894617,0.031214857311132597,0.01155100895394558,0.008465847931385313,0.05258759527884586
127305713,0.05714263497562363,0.043056145602436105,0.0513185422436464,0.006057737452208071,0.006759369690022075,0.03087607293164102,0.012704331723406934,0.15589977066588304,0.010602302613372718,0.04206995502540395,0.03982974377216281,0.017451663365421165,0.026222396856096897,0.012097844271039446,0.008632267428614398,0.04771671561661006
149105520,0.07925678066585184,0.05152795792347206,0.04510846443071003,0.007101732202265763,0.004776606646077503,0.03339908187719107,0.014227046489267222,0.16002173225838276,0.014105087074486884,0.038291635872162964,0.04436363095635875,0.015310278508113465,0.025750415791813967,0.010347142054945795,0.007406700967289526,0.04593715857257578
15197,0.07434062745726595,0.06307570802253529,0.047309427891393585,0.007557290732037745,0.011956724352963183,0.04142562763657855,0.014725116924487854,0.151309319065434,0.011936261441071875,0.039446879562567275,0.03622888608977351,0.016440658896154998,0.029752295309327922,0.009234154964933796,0.006636001317091909,0.059440471804634874
161913,0.057308621521657645,0.06822505366020837,0.0765922443092023,0.0077997417503570116,0.01361296763010697,0.03370234824995057,0.01662674321761366,0.17316392529207197,0.013307331661621305,0.05764008406893079,0.03439886607412046,0.02999269309506952,0.02921139808509206,0.008680142244879275,0.005318466329183999,0.049510068790772375
17561022,0.05664251255538428,0.09748020860775787,0.045397575179963706,0.00801743132821426,0.01635766779432045,0.047315576358387595,0.015407287856843154,0.14909763646643925,0.012762981579190128,0.06974000040182668,0.03732955718495237,0.013725992306863317,0.02930923421451125,0.009847211595782678,0.006966741165646823,0.06186797275902649
1756703,0.07635718723417534,0.03820245060753876,0.052820810858116914,0.005658922949490146,0.0038541897517787244,0.026647524467524736,0.010507737981890813,0.13478478745966258,0.011658173540170957,0.03931628113312446,0.040060108690002386,0.01694778126259289,0.02572876650193196,0.011722216672251718,0.007988481174612134,0.044207908114159554
18692741,0.050729954167488336,0.08647803434768414,0.03908469636494651,0.007219915140047558,0.016661929614827552,0.06156008036538325,0.016963857289683814,0.2008353037769063,0.0119032119764072,0.03865495333951962,0.03211545438892087,0.01470740640150208,0.023936238717182635,0.00938870476335007,0.005949545913758839,0.05534307916292759
201413413,0.04995162597851949,0.07876168973829849,0.03198743454046423,0.007547695438283881,0.007806414658411727,0.027573790784563144,0.01596358478977697,0.13508834166063574,0.013261990463849547,0.03502371825357355,0.05798603477899068,0.013980207397348296,0.02808813827539213,0.010301854507538104,0.007300196158447821,0.0452443214321782
20346544,0.042402165733832556,0.09230657751555396,0.12131654802021453,0.007133389354685108,0.013750087922600466,0.08037021819199776,0.015024227446154443,0.16050414960119216,0.009398002660060226,0.12023817321209407,0.02760724361291146,0.012074580220778118,0.027997962327503373,0.007005898102956654,0.005357460891479446,0.05086977909717069
208153130,0.08397062442145671,0.06866204403054978,0.040260279924364505,0.00790973084989641,0.010637093797782136,0.03589515508116523,0.01257397592387956,0.14898507351746704,0.013666345940382352,0.033238368915298765,0.033514196722614756,0.014216602882990117,0.025819150516580805,0.019032719655610774,0.01584217552160664,0.05205677645189058
21787,0.05293566755095638,0.10893468241434306,0.04025843375874248,0.009391735324073587,0.01572210222459844,0.03631855360818946,0.022197417631469558,0.1408974145357868,0.012857381320915616,0.04092947020318195,0.03438343700739435,0.01321039766417168,0.032534381523047134,0.010207482917151104,0.006508462596844072,0.05300499512662304
22609391,0.05802955451184181,0.043060692086147434,0.0523376211292777,0.006231626746341581,0.011137391188264338,0.03717313176697025,0.01334387752609938,0.17474801904800577,0.025863056954315816,0.05397730199320819,0.037757688752513514,0.016189201748234735,0.02535225657826411,0.01056126588582766,0.007778679991360226,0.047345063725050374
22707536,0.07832685439732066,0.07554654118606219,0.0435222797760058,0.005528200072610137,0.006188349867975819,0.041299177805617766,0.011205850693733643,0.14223719672657456,0.016700201875368494,0.03074716731751892,0.0417953720367303,0.014761040629136989,0.022753140852504048,0.008528172196955052,0.005895266001656322,0.04249325379346259
23518136,0.04424439773722206,0.0889704281210467,0.04144908208693442,0.0077968369862866415,0.01560477691013679,0.02856404725364206,0.018538864284197522,0.13333607247171614,0.0086609168830863,0.037865294854369874,0.04531320615996806,0.016580422327274476,0.030196154190529546,0.00861120317153493,0.006753617289014173,0.05474058883203785
27394781,0.04769050217584145,0.09152238739891766,0.0471912371028873,0.008539466260033594,0.022413940955837625,0.03361530824767501,0.01898239743404199,0.13176689967811792,0.008433176717562293,0.03383696030048894,0.037494465555028916,0.01345570546306655,0.03434721275711893,0.011226197960536302,0.008867925464681967,0.05481617727145273
28675670,0.06705308428893515,0.05408793491129764,0.04736741799000729,0.006642276287569833,0.00974670260732518,0.03444159108640364,0.011020953123850699,0.15139366513556182,0.014108446410737748,0.036585894371413595,0.041249335827244264,0.016221816245088727,0.029574850068513948,0.011340342350688815,0.007951279908937339,0.05892940874955706
28869598,0.05188261653814334,0.0672700129871358,0.0510647778791147,0.007214544262303454,0.013313309230542983,0.03960611438717218,0.0173954708397035,0.16281080910102888,0.011967630249608655,0.037638546011342394,0.03763815308437936,0.023598476263954324,0.026705848151755533,0.010104332521930487,0.007569335139472137,0.07537124405005466
28963772,0.06044370563209707,0.0525562690198432,0.04626220625002513,0.005117221130402099,0.008084103930034286,0.0308948342394645,0.01410066842326295,0.13585608674604285,0.01342003996158173,0.037055797792852514,0.035336522375550905,0.019731948568366662,0.0272656245859715,0.010679703893255076,0.0076269361975837375,0.0423588536542559
29424551,0.062377912053216834,0.05412780677256043,0.05012883979476546,0.0058401041823786205,0.010120956799636205,0.036459314345104916,0.015269591465211271,0.15686810548424698,0.017265766035209927,0.0357085593875462,0.03527542619357485,0.01721055445204768,0.029227910455999123,0.010726577021648526,0.008112834224150689,0.05583325581472684
29939161,0.07084966452845129,0.04402445488025121,0.05785960083872853,0.005523381714797516,0.003049904154555373,0.031659165502717225,0.012255530663478998,0.16653587361805605,0.013616929299791488,0.04715874186905576,0.04998894623769468,0.025050174749066043,0.025085748688175775,0.01243400463051202,0.008769317136103285,0.04280225031018527
30291077,0.054714265457406125,0.08240979223335604,0.04151683998944254,0.007766411088220472,0.017558736844543215,0.044463584967575444,0.01696452962527116,0.15720786485554378,0.012487289750688631,0.03797867780483621,0.031587505176163024,0.03999150865825063,0.026908399234841115,0.007316070178179742,0.0054766498393134305,0.060809884342420836
30618705,0.055333575295734704,0.08041839882791345,0.04484092763646604,0.007968432445193343,0.020484468683693805,0.04443562084310498,0.018395650935266024,0.15125362786956628,0.010878893145454838,0.06417957575571576,0.03714287478804369,0.017160374244811247,0.031231426425565843,0.008675409845598326,0.006093319162485974,0.0649487420394872
30627346,0.047769494372383904,0.06447330126289691,0.05547162216387009,0.006820067002292108,0.01537387122729821,0.041474591024420825,0.01690819113226425,0.14938530545419518,0.009604899549190912,0.0437736201138091,0.03334914766668445,0.017613347724967587,0.03068378864270896,0.008616390696540866,0.006416472079998624,0.08339497558330836
306364,0.07632269204388349,0.03673201203527995,0.07144971081206873,0.0060599058699828245,0.006710347550901833,0.03362654300205294,0.012035866732925142,0.16434175246412397,0.011374489020614937,0.043575941419575326,0.037405389219019744,0.016384736521493963,0.0270782301804533,0.010947955635947533,0.008074657631560933,0.053641306226407996
31276376,0.058154707205754747,0.05136548040493371,0.06740597846622678,0.007049770145195336,0.008684908084103538,0.031944955380278854,0.014111774546497622,0.1486931627873765,0.015496525714980067,0.04321302652065261,0.037258535967628306,0.01666985417050093,0.03146501332534155,0.012134584992539105,0.008947509421515816,0.051514362820937444
31424202,0.07884088439598369,0.07552250684663414,0.0451778830393038,0.006316606905519453,0.010358663994820902,0.03942517244620266,0.01238847317952571,0.1672978067356388,0.012240409669622022,0.03869375519532191,0.04268934707665404,0.017413963818262095,0.027846166873553364,0.010310010202808648,0.007558630281394902,0.057107498990511506
31625455,0.0612920386047972,0.05370835233422507,0.05169709080680211,0.005387034974650562,0.014213218861849081,0.04691520851478726,0.021420439750784823,0.1567865971612391,0.011509354452544604,0.04699342952973931,0.03805327792222848,0.016920034765876207,0.029856434558640628,0.010649214187560919,0.0075997329891405565,0.06101211317495674
32195234,0.07809358294069478,0.08700471566885978,0.040731722104945356,0.006693623697976639,0.010107972437512255,0.03514475445812327,0.01247751469423708,0.17409735730291534,0.01317107954920238,0.03898382941529197,0.038586287147403864,0.015353203365574894,0.027033208131967666,0.009662908332757719,0.007421888619468734,0.05465974123115046
33743772,0.06856908090483087,0.059717975779894183,0.04241706764815555,0.007786970724539313,0.010454769965608016,0.039403797418814314,0.027592232607967532,0.15161596456003354,0.012038737579078109,0.05144735606528437,0.037677811794024754,0.02813553966396469,0.030915365128187947,0.012643230335174909,0.007987375916492526,0.051359194307689274
34272677,0.11098557531974519,0.08846271835703388,0.04260362661152764,0.005490963999347168,0.003925453771850719,0.036896643122729354,0.014064780653920516,0.1422549611628562,0.0189591931370154,0.035465766791098585,0.039805451809108876,0.016523300761732976,0.018239021178010753,0.009654044447950568,0.0072057203833061235,0.04429327190835693
34322023,0.052727080120359426,0.0442235433299477,0.048839644020796706,0.006887206945370735,0.008306682438839285,0.03374541384146615,0.014168438004414361,0.18372744089014129,0.0240773673275231,0.04623061462149177,0.03711166537261392,0.01753615197640131,0.02794447213521915,0.012285702917840525,0.00897324094793486,0.043964686397809746
34438741,0.08274441730451462,0.06702717572519361,0.03658993101072897,0.009399888703471089,0.007575203687127158,0.03236096005628227,0.013092210536392595,0.14854756216958165,0.013026302820154925,0.033741758887528235,0.032028011610652725,0.014616764740477892,0.02639109081915778,0.015276440400516844,0.011872562380795593,0.044173912162385365
34812836,0.061279666355613306,0.057797427162406156,0.046263228164843545,0.006784935410204139,0.008678487144026442,0.03521227145356646,0.014726043591238394,0.1578521252587986,0.012772414636258647,0.04001512149806398,0.04161982511227884,0.0174212444959337,0.03457069132155353,0.010232569944911792,0.00730428018039772,0.049307927904751664
35008850,0.06778854380231866,0.04561622375539507,0.04755378936029244,0.006482069878264667,0.008814541202941211,0.03723397114985681,0.012486451160342606,0.15555363478463255,0.01160478785823215,0.036989025832348664,0.03943058429894151,0.01633039131819579,0.029921725996238383,0.010363378097641481,0.0079014476594953,0.04861240015485516
35053870,0.063763182533766,0.042719460301608794,0.04894794573867855,0.005429506419510351,0.009489722842580296,0.0380728000998017,0.016268725187051875,0.15739969562729544,0.010596303230405859,0.03946027643510036,0.03914777200208723,0.02014429583589834,0.03042863670159415,0.009861701962388775,0.006836683894092895,0.09700188814552907
35109856,0.05605561565635748,0.044260595687199075,0.056005380857908266,0.0073794467682095615,0.006994428182993667,0.04063310108011117,0.01340793239066094,0.18833072164371384,0.016071689893689955,0.04810611358496999,0.032957014912201016,0.016879664574842752,0.031099427946464673,0.010578566268409008,0.008003091561083676,0.04370357961750263
36429604,0.06860578849550658,0.05764855539346182,0.043690093893339346,0.005595918004556321,0.009040838507362712,0.08803413117264255,0.015497246132412443,0.1912555386292091,0.01317103500397053,0.07266865598867117,0.06541236040175637,0.05544156259467968,0.025377528218072105,0.005608968514212141,0.0037880469205344974,0.039111074456602155
