Main Group,Top Mean,Trash Mean,Top-Trash δ,KW p,Top-Trash p (adj)
Relationship Trajectory (Main Couple),0.3649,0.3503,0.373,0.0288,0.3185
Social World Outside Couple,0.074,0.0673,0.3,0.1035,0.9351
Embodied & Sensory Experience,0.0211,0.0186,0.289,0.0593,1.0
"Sexuality, Attraction & Intimacy",0.1879,0.1999,-0.253,0.0937,1.0
"Emotions, Cognition & Inner Life",0.1914,0.1964,-0.136,0.3652,1.0
"Conflict, Risk & Harm",0.0212,0.0238,0.111,0.6461,1.0
"Work, Wealth, Status & Institutions",0.0649,0.0676,-0.1,0.2202,1.0
"Spaces, Time, Activities & Objects",0.0737,0.0757,-0.038,0.9521,1.0
