book_id,entropy,effective_topics,hhi,richness_1e3,thematic_mass,rating_tier,other_share,paratext_share,noise_share,unmapped_share,modeled_mass
104659050,5.427147601976126,227.49940021640555,0.006398233486702523,250,0.999097413250542,mid,0.0004468529949471778,0.0009025867494580424,0.00039300842641396775,5.384456853320697e-05,0.999097413250542
11266880,5.445781999018855,231.778459389561,0.0063103925625953294,265,0.9985243873432861,mid,0.001215081706438026,0.0014756126567139196,0.0009711682007358878,0.00024391350570222845,0.9985243873432861
123257687,5.48947050264066,242.1289662611665,0.005741992294534622,265,0.9984404529926277,bad,0.000817685656530287,0.0015595470073722802,0.0005933961870260821,0.00022428946950422277,0.9984404529926277
123446478,5.492600614119899,242.88804429759307,0.005628293670692543,258,0.998647134318297,mid,0.0007116415342263149,0.0013528656817031804,0.0006604475100356963,5.119402419058305e-05,0.998647134318297
127305713,5.485416166376318,241.14928134063229,0.0059554705837584505,268,0.9981942446783573,good,0.0011933875651233272,0.0018057553216428005,0.0007904011514933274,0.0004029864136301078,0.9981942446783573
149105520,5.501060852382901,244.95165202144364,0.005510101170659539,264,0.9982315224333287,bad,0.002077900419664158,0.001768477566671331,0.0014003579841769043,0.0006775424354872261,0.9982315224333287
15197,5.474483487642528,238.5272328440775,0.005686111317721959,251,0.9966487388764189,good,0.002830864075509587,0.0033512611235811084,0.002784586253957696,4.6277821551960885e-05,0.9966487388764189
161913,5.261199678464768,192.71254576504438,0.010879571509915833,249,0.9986196466490667,bad,0.0005511731190438462,0.0013803533509331922,0.0004888725354902205,6.23005835536248e-05,0.9986196466490667
17561022,5.150093264199934,172.44757275178816,0.015113462019937568,236,0.9986326150717222,bad,0.0014728139717014033,0.0013673849282778163,0.0010240894660769606,0.0004487245056245117,0.9986326150717222
1756703,5.43374855446088,229.00608023833828,0.007053033423972607,265,0.9985075516828253,good,0.00872527361801878,0.0014924483171745596,0.0004733957526091096,0.008251877865409736,0.9985075516828253
18692741,5.080093398981926,160.7890727630188,0.015676874849568645,221,0.9987460443224053,mid,0.0006235660003660604,0.0012539556775947641,0.0005535149296347076,7.005107073124775e-05,0.9987460443224053
201413413,5.045256675266981,155.28415168465915,0.016864938121598567,224,0.9990852127590826,bad,0.0004445461050218702,0.0009147872409173945,0.00037312042951055603,7.142567551129871e-05,0.9990852127590826
20346544,4.930387707708552,138.4331735453598,0.020636382139867467,231,0.9975257474084979,mid,0.0009479572003235903,0.0024742525915021282,0.000866161011692721,8.179618863083434e-05,0.9975257474084979
208153130,5.50829339213102,246.72969671980184,0.005703564423437073,268,0.9984243442192576,good,0.0010326844242237732,0.0015756557807423545,0.0006454457184641736,0.0003872387057595508,0.9984243442192576
21787,5.0813953730616195,160.99855230693097,0.017004855401829867,232,0.9978244726287916,good,0.0019361466676850458,0.002175527371208294,0.0018865568284903993,4.9589839194567247e-05,0.9978244726287916
22609391,5.424088684712609,226.80456164229753,0.006618358835378561,254,0.9988282389513924,good,0.00109348853819069,0.0011717610486075567,0.0008336174294278486,0.0002598711087628249,0.9988282389513924
22707536,5.417767955911935,225.37551259088065,0.007013464747834762,248,0.9981284891012244,bad,0.010101563482261433,0.0018715108987753782,0.0007711899901462695,0.009330373492115117,0.9981284891012244
23518136,5.163658512793765,174.8028054877566,0.013216399266399767,240,0.9975348217944467,bad,0.001022718534610556,0.0024651782055534,0.0009815808931498754,4.113764146057981e-05,0.9975348217944467
27394781,5.171788834481216,176.22980163649385,0.013160403596959358,240,0.9992854459351744,bad,0.0004368415154628602,0.0007145540648255148,0.0003816055499442649,5.5235965518640214e-05,0.9992854459351744
28675670,5.556960875083777,259.03440095092077,0.004915387983345223,282,0.9981573186710125,good,0.0009562463317022152,0.001842681328987451,0.0008943258242670109,6.192050743521572e-05,0.9981573186710125
28869598,5.396828802880293,220.70540492478685,0.007956918451765263,261,0.9985120407659483,mid,0.0029275593583634185,0.0014879592340514632,0.0005027969767929457,0.0024247623815704155,0.9985120407659483
28963772,5.417258984537584,225.26083209351313,0.009113192080886385,270,0.997953078967959,bad,0.0014413669282281605,0.002046921032040948,0.0013390229189039096,0.00010234400932432162,0.997953078967959
29424551,5.540281662543402,254.7497428148644,0.005100290330063438,269,0.9984276730257179,good,0.001253153319667577,0.0015723269742820233,0.0010179587353574705,0.0002351945843100811,0.9984276730257179
29939161,5.463454269588613,235.9109184536471,0.005801744409075576,255,0.9988737409317534,mid,0.0008513273280456035,0.0011262590682464962,0.00045529661171703743,0.00039603071632856674,0.9988737409317534
30291077,5.154104380894699,173.14066920593163,0.01302313615507892,222,0.9976736506107412,mid,0.0014652202381321144,0.0023263493892587716,0.0014109700589451646,5.4250179187050835e-05,0.9976736506107412
30618705,5.196313845336475,180.60527438327537,0.011380074917283708,233,0.9982183344021627,bad,0.0007038053035900438,0.0017816655978372374,0.0006577060790230386,4.609922456696857e-05,0.9982183344021627
30627346,5.3122831385868565,202.81274980196707,0.010122864851944698,264,0.998597586375066,mid,0.0016595463666397858,0.0014024136249340602,0.00046191622325824684,0.0011976301433815504,0.998597586375066
306364,5.4715890404209375,237.83782656405444,0.006386768088549233,271,0.9986979892574271,mid,0.000669930718619316,0.0013020107425728497,0.0006120341753021055,5.789654331727758e-05,0.9986979892574271
31276376,5.523873652684357,250.6039119522639,0.005394941397341207,270,0.9979501102998135,good,0.0012554586953344993,0.0020498897001865754,0.0011945706376863846,6.088805764816268e-05,0.9979501102998135
31424202,5.470194545893479,237.50639416053374,0.005730305504335224,258,0.9973698881892795,bad,0.0022053023032646557,0.0026301118107206365,0.001967682312771715,0.00023761999049281017,0.9973698881892795
31625455,5.466368604340369,236.59944465220488,0.006133134886359956,263,0.9987512307554903,bad,0.0012225368616549659,0.0012487692445097582,0.0006727159968339154,0.0005498208648211232,0.9987512307554903
32195234,5.363235453483549,213.4143227396594,0.007253142158953315,244,0.9986664402260763,mid,0.0006299552461579427,0.0013335597739235685,0.0005846350854370267,4.5320160720835586e-05,0.9986664402260763
33743772,5.469801061882283,237.4129575759813,0.005962080344097391,263,0.9975154036071702,bad,0.0017232730150444908,0.002484596392829843,0.0016623983748560065,6.0874640188435616e-05,0.9975154036071702
34272677,5.230755665901594,186.93400981812417,0.010249207961666142,227,0.9986214518983145,bad,0.0004458478032093316,0.0013785481016855938,0.0003829570913579332,6.289071185151459e-05,0.9986214518983145
34322023,5.42911358080927,227.94709916090926,0.006761385069936846,258,0.998088498891166,mid,0.0011009164966344631,0.0019115011088338286,0.0010406337640878438,6.028273254660968e-05,0.998088498891166
34438741,5.494595278593017,243.37300795959914,0.005848997300331066,261,0.998589603410656,good,0.0005893115748220046,0.001410396589344042,0.0005222643485769702,6.704722624511163e-05,0.998589603410656
34812836,5.504879534726807,245.88883282917348,0.005745002859971605,270,0.9982242947937966,good,0.0016681599470548258,0.001775705206203443,0.0011503511220385884,0.0005178088250162509,0.9982242947937966
35008850,5.442859726194899,231.10212818995493,0.006822860427722791,258,0.997814115032149,mid,0.0020935014140083252,0.002185884967851109,0.0018223738389446889,0.0002711275750636594,0.997814115032149
35053870,5.4760265526704615,238.89557999400373,0.006395773925723031,272,0.9986489975832743,mid,0.0007063293314559793,0.0013510024167257021,0.0006362916930668682,7.003763838904171e-05,0.9986489975832743
35109856,5.463696780363788,235.96813633104904,0.0060822242316122795,258,0.9986188495895317,mid,0.0008914812950400197,0.0013811504104682044,0.0008379720357955493,5.350925924454394e-05,0.9986188495895317
36429604,5.005062728730023,149.16643988625304,0.01815132351142601,226,0.9987223516749245,bad,0.0004887544797689269,0.00127764832507537,0.0004118193709482875,7.69351088206605e-05,0.9987223516749245
36437212,5.399461041374306,221.287119457283,0.006456746003942254,236,0.9962914045422321,bad,0.000438115127732841,0.0037085954577679037,0.00038777912044010563,5.033600729281295e-05,0.9962914045422321
36512901,4.836198221030267,125.98945601512517,0.028794052828444154,209,0.9993829473096497,mid,0.000931377192918359,0.0006170526903502636,0.0003271971366064258,0.0006041800563119954,0.9993829473096497
36564103,5.532613690258987,252.8037991034792,0.005224773766611457,272,0.997788117913188,good,0.0023176334309262803,0.0022118820868121166,0.0013702599196246438,0.0009473735113015512,0.997788117913188
36600859,5.106868493236282,165.15236849910835,0.018439137700115734,238,0.9975338243333076,mid,0.0022106420887307854,0.0024661756666923638,0.0021530375730714336,5.760451565931392e-05,0.9975338243333076
36662463,5.229017842635923,186.6094336564055,0.011658344160125402,235,0.9964791488978003,bad,0.0020422325078992554,0.0035208511021996075,0.0019996568010547814,4.257570684439709e-05,0.9964791488978003
40131614,5.5003155430270025,244.7691552801615,0.00541478649697375,268,0.9988147239096572,mid,0.0005136181809382023,0.001185276090342727,0.00045083395492988754,6.278422600832058e-05,0.9988147239096572
4066312,5.443252103727729,231.1928252654295,0.006900267389606863,269,0.9990554891819085,good,0.009946261441056148,0.000944510818091529,0.0005091159436919591,0.009437145497364168,0.9990554891819085
40727118,5.499328738965949,244.52773522044896,0.005592400234828437,265,0.9984489756665182,good,0.0009556739900230538,0.0015510243334817355,0.0008931609476053017,6.251304241768888e-05,0.9984489756665182
