taxonomy_main_group,n_books,top_median,top_mean,top_q1,top_q3,middle_median,middle_mean,middle_q1,middle_q3,trash_median,trash_mean,trash_q1,trash_q3,kruskal_stat,kruskal_p,epsilon_squared,top_vs_trash_delta,top_vs_trash_p,top_vs_middle_delta,top_vs_middle_p,middle_vs_trash_delta,middle_vs_trash_p,top_vs_trash_p_adj,top_vs_middle_p_adj,middle_vs_trash_p_adj
"Conflict, Risk & Harm",92,0.02066415617482974,0.02148547058152881,0.01815458915277499,0.022713569824106446,0.020059077462923625,0.021127812892373744,0.018023762692642983,0.02269040545655837,0.019421424314576732,0.02171964548867109,0.017612965793346966,0.022005929111519794,0.8081550958391972,0.6675923488637394,-0.013391515777087672,0.13777777777777778,0.36322231255273874,0.075,0.617040152501639,0.052083333333333336,0.7300156947516389,1.0,1.0,1.0
Embodied & Sensory Experience,92,0.019952484162862195,0.020447983058111577,0.0182704257281028,0.021983632758141407,0.018790852796206993,0.018487585966527956,0.015665381722812517,0.02088107189307611,0.017136488159331983,0.018491811616678917,0.014039624016910578,0.021255609658277975,4.574742870500188,0.10153299745543795,0.028929695174159414,0.28888888888888886,0.05554569313434556,0.24375,0.10079578681326837,0.10625,0.47687470724095715,1.0,1.0,1.0
"Emotions, Cognition & Inner Life",92,0.19502972512701927,0.19589655846831366,0.18740013314457127,0.20314311300806653,0.19271725731485545,0.19440175671319654,0.18928255646481665,0.20159157726876603,0.19807058912581244,0.1994162363773487,0.18998400596589668,0.2078457160400053,1.3535179990649908,0.5082616019252754,-0.007263842707134934,-0.1111111111111111,0.46427291062161524,0.04791666666666667,0.7512945586546258,-0.17291666666666666,0.2452000867324996,1.0,1.0,1.0
Relationship Trajectory (Main Couple),92,0.3589438692576629,0.359562407359837,0.344960659748769,0.374952549973528,0.3568264735325849,0.36219701043464203,0.3472613846278361,0.36989698099745394,0.35162121626216447,0.3480172017759722,0.32993245577823455,0.36038382142239855,4.799672744272982,0.09073279848880215,0.03145699712666272,0.28444444444444444,0.0594279151689524,0.00625,0.971908492263774,0.28125,0.05815149784506512,1.0,1.0,1.0
"Sexuality, Attraction & Intimacy",92,0.1835009777229097,0.1896001903575762,0.15821599448130064,0.2147680260141564,0.18176388286993828,0.18823235722316586,0.1729488067231929,0.20183521782760477,0.20019247541615187,0.20313655188186644,0.18480848875041933,0.2193259909688859,5.79493922393641,0.05516262645566756,0.04263976656108326,-0.2777777777777778,0.06567125768912659,-0.0375,0.8052926314065638,-0.3416666666666667,0.021276291973116663,1.0,1.0,0.5106310073547999
Social World Outside Couple,92,0.07136244781948084,0.07414176394067659,0.06278664931509784,0.07833651085193996,0.06922026795922745,0.07365471675639028,0.0621880939242301,0.08304991626783453,0.06484751218829171,0.06730577242707705,0.05825871292908692,0.07243316653612511,3.994763908368384,0.13569006141874687,0.022413077622116674,0.2733333333333333,0.07012659407128821,0.03958333333333333,0.7944092971383729,0.23958333333333334,0.10678013474771023,1.0,1.0,1.0
"Spaces, Time, Activities & Objects",92,0.07528564164988692,0.07550926966322688,0.07218033312016031,0.0791989748919072,0.0778180378607029,0.08035265868072802,0.07130533489316028,0.08527064427516493,0.07555642400047055,0.07739469425330713,0.06871567349762214,0.08576078484526434,0.6875175315568072,0.7090999665969818,-0.014746994027451605,-0.03777777777777778,0.8072749507289148,-0.12083333333333333,0.4179749516143205,0.07916666666666666,0.5973456715788438,1.0,1.0,1.0
"Work, Wealth, Status & Institutions",92,0.06324770612775352,0.0625397438460693,0.05790440509375519,0.06772597312490776,0.06096036097161309,0.061309116090192704,0.05652431254581956,0.06544090103623054,0.06404576390622083,0.0639633676244756,0.05763233294524093,0.06883991898454467,1.5285647498831167,0.4656679861125568,-0.0052970252822121715,-0.057777777777777775,0.7061714882812296,0.125,0.4019681956154475,-0.175,0.23952574967209073,1.0,1.0,1.0
