book_id,rating_tier,taxonomy_main_group,taxonomy_main_name,abs_share_subgroup,within_group_share,group_sum,mapping_confidence,modeled_mass,other_share,paratext_share,noise_share,unmapped_share
15197,top,"Conflict, Risk & Harm",Interpersonal Non-Romantic Conflict,0.002191893761072705,0.11013043467107814,0.013014830321933877,high,0.653922624344457,0.33064417944371927,0.0022431861392729962,0.0018638790169275936,3.097632921846991e-05
15197,top,"Conflict, Risk & Harm","Violence, Threats & Coercion",0.01771081313025248,0.8898695653289219,0.013014830321933877,high,0.653922624344457,0.33064417944371927,0.0022431861392729962,0.0018638790169275936,3.097632921846991e-05
15197,top,Embodied & Sensory Experience,Body Parts & Physical Reactions,0.010854371868215012,0.49464281980299657,0.014349585303797041,high,0.653922624344457,0.33064417944371927,0.0022431861392729962,0.0018638790169275936,3.097632921846991e-05
15197,top,Embodied & Sensory Experience,Exercise & Physical Activity,0.011089486272772515,0.5053571801970035,0.014349585303797041,high,0.653922624344457,0.33064417944371927,0.0022431861392729962,0.0018638790169275936,3.097632921846991e-05
15197,top,"Emotions, Cognition & Inner Life",Ambivalence & Internal Conflict,0.011174924552414464,0.05489356393423275,0.1331219084066255,high,0.653922624344457,0.33064417944371927,0.0022431861392729962,0.0018638790169275936,3.097632921846991e-05
15197,top,"Emotions, Cognition & Inner Life","Beliefs, Values & Moral Reflection",0.02832173183143405,0.1391222633965,0.1331219084066255,high,0.653922624344457,0.33064417944371927,0.0022431861392729962,0.0018638790169275936,3.097632921846991e-05
15197,top,"Emotions, Cognition & Inner Life",Negative Emotions & Distress,0.11159643764994745,0.5481850151414612,0.1331219084066255,high,0.653922624344457,0.33064417944371927,0.0022431861392729962,0.0018638790169275936,3.097632921846991e-05
15197,top,"Emotions, Cognition & Inner Life",Positive Emotions & Security,0.05248130980347343,0.25779915752780613,0.1331219084066255,high,0.653922624344457,0.33064417944371927,0.0022431861392729962,0.0018638790169275936,3.097632921846991e-05
15197,top,Relationship Trajectory (Main Couple),"Bonding, Everyday Intimacy & Growth",0.15054617262475123,0.4611293938353737,0.2134879051386967,high,0.653922624344457,0.33064417944371927,0.0022431861392729962,0.0018638790169275936,3.097632921846991e-05
15197,top,Relationship Trajectory (Main Couple),"Conflict, Distance & Breakup Threats",0.11101258584570582,0.34003631926748434,0.2134879051386967,high,0.653922624344457,0.33064417944371927,0.0022431861392729962,0.0018638790169275936,3.097632921846991e-05
15197,top,Relationship Trajectory (Main Couple),"Meeting, First Impressions & Setup",5.50137019418132e-06,1.6850933229834518e-05,0.2134879051386967,high,0.653922624344457,0.33064417944371927,0.0022431861392729962,0.0018638790169275936,3.097632921846991e-05
15197,top,Relationship Trajectory (Main Couple),"Reconciliation, Commitments & HEA",0.01015364014900471,0.031101035951300343,0.2134879051386967,high,0.653922624344457,0.33064417944371927,0.0022431861392729962,0.0018638790169275936,3.097632921846991e-05
15197,top,Relationship Trajectory (Main Couple),"Secrets, Misunderstandings & Hidden Information",0.054754831172862874,0.1677164000126118,0.2134879051386967,medium,0.653922624344457,0.33064417944371927,0.0022431861392729962,0.0018638790169275936,3.097632921846991e-05
15197,top,"Sexuality, Attraction & Intimacy",Attraction & Sexual Tension,0.038169212913151285,0.18347690173283038,0.13603735206775658,high,0.653922624344457,0.33064417944371927,0.0022431861392729962,0.0018638790169275936,3.097632921846991e-05
15197,top,"Sexuality, Attraction & Intimacy",Explicit Sexual Acts,0.09645744874749865,0.46366462639701295,0.13603735206775658,high,0.653922624344457,0.33064417944371927,0.0022431861392729962,0.0018638790169275936,3.097632921846991e-05
15197,top,"Sexuality, Attraction & Intimacy",Kissing & Non-Explicit Affection,0.07340613458054301,0.3528584718701567,0.13603735206775658,high,0.653922624344457,0.33064417944371927,0.0022431861392729962,0.0018638790169275936,3.097632921846991e-05
15197,top,Social World Outside Couple,"Community, Norms & Social Events",0.003163043306203406,0.045010277096501274,0.04595362910726178,high,0.653922624344457,0.33064417944371927,0.0022431861392729962,0.0018638790169275936,3.097632921846991e-05
