book_id,entropy,effective_topics,hhi,richness_1e3,thematic_mass,rating_tier,other_share,paratext_share,noise_share,unmapped_share,modeled_mass
15197,5.414207783948333,224.57456361370907,0.005904646380962038,251,0.653922624344457,top,0.33064417944371927,0.0022431861392729962,0.0018638790169275936,3.097632921846991e-05,0.653922624344457
21787,5.022188720987053,151.7430638249737,0.017569480267497252,235,0.691762266889711,top,0.295122683905488,0.0015334798945074518,0.0013297911139260874,3.4954752757025e-05,0.691762266889711
161913,5.188618102332482,179.22071703850435,0.01142984034049622,251,0.672462717395028,trash,0.30837534911392106,0.0009546864044385984,0.0003381162966862161,4.308861935027475e-05,0.672462717395028
306364,5.447588646673671,232.19757988718598,0.006031776719760944,272,0.616734809317917,middle,0.32659279956737797,0.000876783409089182,0.00041214822055927954,3.8987949150013927e-05,0.616734809317917
1756703,5.399704027346247,221.34089565624868,0.006655314412284329,265,0.5973337796610368,top,0.36025732450183334,0.0009547828794719895,0.00030285146534362006,0.0052790784235013264,0.5973337796610368
4066312,5.365287016544462,213.8526051090973,0.007317161091743452,265,0.6235595592739582,top,0.35462433648796865,0.0006095642959201121,0.0003285710399647521,0.006090504037020979,0.6235595592739582
8686068,5.282014010319066,196.76576483604532,0.008809054309058557,231,0.6783653886924969,top,0.31108320058512906,0.0004419879076513178,0.00024502758593496936,3.861219230663561e-05,0.6783653886924969
11266880,5.385307407237909,218.17716303880582,0.006550057117211284,263,0.6607734254517121,middle,0.3251779489719767,0.0009957759595265977,0.0006553657171137868,0.00016459821219141324,0.6607734254517121
17561022,5.117309700959886,166.88579245650155,0.01564165179995159,245,0.6586389621297828,trash,0.2928687182649611,0.0009669206569582665,0.0007241656967583529,0.0003173071348081827,0.6586389621297828
18692741,5.01739244223582,151.01700437592967,0.01622470879490364,224,0.6762044489473082,middle,0.31101753386484254,0.000863953475173423,0.00038136208126234895,4.826395946782341e-05,0.6762044489473082
20346544,4.95453252194545,141.8162948689508,0.019233235154304737,240,0.6318186362222098,middle,0.30098317547611064,0.0017295441895818216,0.0006054611199198452,5.717691203488289e-05,0.6318186362222098
22609391,5.387411425972717,218.6366951398966,0.006544596522811032,255,0.6522851841445543,top,0.3072667559480108,0.0008117178324556735,0.0005774745061858338,0.00018002135620865905,0.6522851841445543
22707536,5.356361663401075,211.95238775788457,0.007283924595268733,246,0.6391321072153833,trash,0.34685101167833376,0.0012223754501681106,0.0005037019618678318,0.006094124007038282,0.6391321072153833
23518136,5.144851503539165,171.54600880439318,0.01301227735130352,252,0.6488573552149403,trash,0.3088900770410502,0.0017037091197200922,0.0006783802954427873,2.843063222053421e-05,0.6488573552149403
