book_id,rating_tier,taxonomy_main_group,abs_share,cond_share,modeled_mass,other_share,paratext_share,noise_share,unmapped_share,n_topics_in_group
15197,top,"Conflict, Risk & Harm",0.013014830321933877,0.019902706891325186,0.653922624344457,0.33064417944371927,0.0022431861392729962,0.0018638790169275936,3.097632921846991e-05,8
15197,top,Embodied & Sensory Experience,0.014349585303797041,0.021943858140987527,0.653922624344457,0.33064417944371927,0.0022431861392729962,0.0018638790169275936,3.097632921846991e-05,4
15197,top,"Emotions, Cognition & Inner Life",0.1331219084066255,0.20357440383726938,0.653922624344457,0.33064417944371927,0.0022431861392729962,0.0018638790169275936,3.097632921846991e-05,54
15197,top,Relationship Trajectory (Main Couple),0.2134879051386967,0.3264727311625188,0.653922624344457,0.33064417944371927,0.0022431861392729962,0.0018638790169275936,3.097632921846991e-05,134
15197,top,"Sexuality, Attraction & Intimacy",0.13603735206775658,0.20803279624119295,0.653922624344457,0.33064417944371927,0.0022431861392729962,0.0018638790169275936,3.097632921846991e-05,48
15197,top,Social World Outside Couple,0.04595362910726178,0.07027380212349936,0.653922624344457,0.33064417944371927,0.0022431861392729962,0.0018638790169275936,3.097632921846991e-05,29
15197,top,"Spaces, Time, Activities & Objects",0.05880997920909301,0.0899341558461121,0.653922624344457,0.33064417944371927,0.0022431861392729962,0.0018638790169275936,3.097632921846991e-05,22
15197,top,"Work, Wealth, Status & Institutions",0.03911645846007406,0.0598181757349158,0.653922624344457,0.33064417944371927,0.0022431861392729962,0.0018638790169275936,3.097632921846991e-05,19
21787,top,"Conflict, Risk & Harm",0.011638231024902213,0.016824032737763825,0.691762266889711,0.295122683905488,0.0015334798945074518,0.0013297911139260874,3.4954752757025e-05,8
21787,top,Embodied & Sensory Experience,0.010341710484534541,0.014949804260114899,0.691762266889711,0.295122683905488,0.0015334798945074518,0.0013297911139260874,3.4954752757025e-05,4
21787,top,"Emotions, Cognition & Inner Life",0.1525833841600754,0.22057199628149432,0.691762266889711,0.295122683905488,0.0015334798945074518,0.0013297911139260874,3.4954752757025e-05,54
21787,top,Relationship Trajectory (Main Couple),0.22695226316519027,0.3280784078981482,0.691762266889711,0.295122683905488,0.0015334798945074518,0.0013297911139260874,3.4954752757025e-05,134
21787,top,"Sexuality, Attraction & Intimacy",0.1609565706392068,0.2326761350585033,0.691762266889711,0.295122683905488,0.0015334798945074518,0.0013297911139260874,3.4954752757025e-05,48
21787,top,Social World Outside Couple,0.03909586651567259,0.0565163328312987,0.691762266889711,0.295122683905488,0.0015334798945074518,0.0013297911139260874,3.4954752757025e-05,29
21787,top,"Spaces, Time, Activities & Objects",0.05226881070869555,0.07555892133825921,0.691762266889711,0.295122683905488,0.0015334798945074518,0.0013297911139260874,3.4954752757025e-05,22
21787,top,"Work, Wealth, Status & Institutions",0.0378904754386766,0.05477383958659537,0.691762266889711,0.295122683905488,0.0015334798945074518,0.0013297911139260874,3.4954752757025e-05,19
161913,trash,"Conflict, Risk & Harm",0.01076103770297443,0.016002430208562804,0.672462717395028,0.30837534911392106,0.0009546864044385984,0.0003381162966862161,4.308861935027475e-05,8
161913,trash,Embodied & Sensory Experience,0.0077686546895269215,0.011552543343400468,0.672462717395028,0.30837534911392106,0.0009546864044385984,0.0003381162966862161,4.308861935027475e-05,4
161913,trash,"Emotions, Cognition & Inner Life",0.13447792340974973,0.19997825891476553,0.672462717395028,0.30837534911392106,0.0009546864044385984,0.0003381162966862161,4.308861935027475e-05,54
161913,trash,Relationship Trajectory (Main Couple),0.23982274680546037,0.3566335212374014,0.672462717395028,0.30837534911392106,0.0009546864044385984,0.0003381162966862161,4.308861935027475e-05,134
161913,trash,"Sexuality, Attraction & Intimacy",0.12401141704531402,0.18441381780347146,0.672462717395028,0.30837534911392106,0.0009546864044385984,0.0003381162966862161,4.308861935027475e-05,48
161913,trash,Social World Outside Couple,0.07481038904586237,0.11124838167335327,0.672462717395028,0.30837534911392106,0.0009546864044385984,0.0003381162966862161,4.308861935027475e-05,29
161913,trash,"Spaces, Time, Activities & Objects",0.04485966661891635,0.0667095222656994,0.672462717395028,0.30837534911392106,0.0009546864044385984,0.0003381162966862161,4.308861935027475e-05,22
161913,trash,"Work, Wealth, Status & Institutions",0.03590779345787364,0.053397448704624845,0.672462717395028,0.30837534911392106,0.0009546864044385984,0.0003381162966862161,4.308861935027475e-05,19
306364,middle,"Conflict, Risk & Harm",0.01564615582608221,0.025369341230124836,0.616734809317917,0.32659279956737797,0.000876783409089182,0.00041214822055927954,3.8987949150013927e-05,8
306364,middle,Embodied & Sensory Experience,0.01134675261836168,0.018398106360999332,0.616734809317917,0.32659279956737797,0.000876783409089182,0.00041214822055927954,3.8987949150013927e-05,4
306364,middle,"Emotions, Cognition & Inner Life",0.12184392197214752,0.1975629073165204,0.616734809317917,0.32659279956737797,0.000876783409089182,0.00041214822055927954,3.8987949150013927e-05,54
306364,middle,Relationship Trajectory (Main Couple),0.22855584606612236,0.37059015092547737,0.616734809317917,0.32659279956737797,0.000876783409089182,0.00041214822055927954,3.8987949150013927e-05,134
306364,middle,"Sexuality, Attraction & Intimacy",0.09750793157272042,0.15810349942880655,0.616734809317917,0.32659279956737797,0.000876783409089182,0.00041214822055927954,3.8987949150013927e-05,48
306364,middle,Social World Outside Couple,0.05984404952464306,0.0970336822577407,0.616734809317917,0.32659279956737797,0.000876783409089182,0.00041214822055927954,3.8987949150013927e-05,29
306364,middle,"Spaces, Time, Activities & Objects",0.042421060025949676,0.06878330748489063,0.616734809317917,0.32659279956737797,0.000876783409089182,0.00041214822055927954,3.8987949150013927e-05,22
306364,middle,"Work, Wealth, Status & Institutions",0.039530103762740035,0.0640957882796638,0.616734809317917,0.32659279956737797,0.000876783409089182,0.00041214822055927954,3.8987949150013927e-05,19
1756703,top,"Conflict, Risk & Harm",0.02520030611633721,0.04218798094867057,0.5973337796610368,0.36025732450183334,0.0009547828794719895,0.00030285146534362006,0.0052790784235013264,8
1756703,top,Embodied & Sensory Experience,0.0107080146951526,0.017926350492398022,0.5973337796610368,0.36025732450183334,0.0009547828794719895,0.00030285146534362006,0.0052790784235013264,4
1756703,top,"Emotions, Cognition & Inner Life",0.11118265359158315,0.18613153546192363,0.5973337796610368,0.36025732450183334,0.0009547828794719895,0.00030285146534362006,0.0052790784235013264,54
1756703,top,Relationship Trajectory (Main Couple),0.22689846402450609,0.3798520555011336,0.5973337796610368,0.36025732450183334,0.0009547828794719895,0.00030285146534362006,0.0052790784235013264,134
1756703,top,"Sexuality, Attraction & Intimacy",0.09184069789107246,0.15375105346158124,0.5973337796610368,0.36025732450183334,0.0009547828794719895,0.00030285146534362006,0.0052790784235013264,48
1756703,top,Social World Outside Couple,0.04658389013344946,0.07798636494303732,0.5973337796610368,0.36025732450183334,0.0009547828794719895,0.00030285146534362006,0.0052790784235013264,29
1756703,top,"Spaces, Time, Activities & Objects",0.03805301677314552,0.06370477958694902,0.5973337796610368,0.36025732450183334,0.0009547828794719895,0.00030285146534362006,0.0052790784235013264,22
1756703,top,"Work, Wealth, Status & Institutions",0.04158765801228904,0.06962214331138007,0.5973337796610368,0.36025732450183334,0.0009547828794719895,0.00030285146534362006,0.0052790784235013264,19
4066312,top,"Conflict, Risk & Harm",0.01121195168010583,0.017980562583565344,0.6235595592739582,0.35462433648796865,0.0006095642959201121,0.0003285710399647521,0.006090504037020979,8
4066312,top,Embodied & Sensory Experience,0.012731879048756209,0.02041806409572259,0.6235595592739582,0.35462433648796865,0.0006095642959201121,0.0003285710399647521,0.006090504037020979,4
4066312,top,"Emotions, Cognition & Inner Life",0.12913237466461305,0.20708907873205948,0.6235595592739582,0.35462433648796865,0.0006095642959201121,0.0003285710399647521,0.006090504037020979,54
4066312,top,Relationship Trajectory (Main Couple),0.2467765863153161,0.3957546358565179,0.6235595592739582,0.35462433648796865,0.0006095642959201121,0.0003285710399647521,0.006090504037020979,134
4066312,top,"Sexuality, Attraction & Intimacy",0.09201273387498328,0.14756045754814237,0.6235595592739582,0.35462433648796865,0.0006095642959201121,0.0003285710399647521,0.006090504037020979,48
4066312,top,Social World Outside Couple,0.04582831194101615,0.07349468268015386,0.6235595592739582,0.35462433648796865,0.0006095642959201121,0.0003285710399647521,0.006090504037020979,29
4066312,top,"Spaces, Time, Activities & Objects",0.03826349576181899,0.06136301688065067,0.6235595592739582,0.35462433648796865,0.0006095642959201121,0.0003285710399647521,0.006090504037020979,22
4066312,top,"Work, Wealth, Status & Institutions",0.041511721950327665,0.06657218437748248,0.6235595592739582,0.35462433648796865,0.0006095642959201121,0.0003285710399647521,0.006090504037020979,19
8686068,top,"Conflict, Risk & Harm",0.01266960573096896,0.018676668860403922,0.6783653886924969,0.31108320058512906,0.0004419879076513178,0.00024502758593496936,3.861219230663561e-05,8
8686068,top,Embodied & Sensory Experience,0.013431489595685568,0.01979978610284621,0.6783653886924969,0.31108320058512906,0.0004419879076513178,0.00024502758593496936,3.861219230663561e-05,4
8686068,top,"Emotions, Cognition & Inner Life",0.12004127640957801,0.17695666437367832,0.6783653886924969,0.31108320058512906,0.0004419879076513178,0.00024502758593496936,3.861219230663561e-05,54
