book_id,composite_key,pc1,pc2
104659050,A2_emotional_safety,-0.31394210137458217,-0.5207559663707348
11266880,A2_emotional_safety,0.4972464462688657,-1.023295686155566
123257687,A2_emotional_safety,1.3758763487175736,-0.022658911923112528
123446478,A2_emotional_safety,1.5347885915374102,-1.8734450674775516
127305713,A2_emotional_safety,1.5167165454104745,-0.46916127018510195
149105520,A2_emotional_safety,0.8914301505001866,-1.213854149354889
15197,A2_emotional_safety,0.970452043156214,-1.167786311530787
161913,A2_emotional_safety,-0.8644492401190006,0.6857637927935238
17561022,A2_emotional_safety,0.18780345494509162,0.13843641992903902
1756703,A2_emotional_safety,0.512366664671823,0.37382449933391604
18692741,A2_emotional_safety,-2.158332541471646,-0.4165614588884035
201413413,A2_emotional_safety,-1.1487892451376016,0.1673226227945551
20346544,A2_emotional_safety,-1.3051443805024698,0.3005557383095784
208153130,A2_emotional_safety,-1.743675576543954,-0.7361917525599214
21787,A2_emotional_safety,-1.3186382527478342,0.5906049079801999
22609391,A2_emotional_safety,-0.0016198372581285529,0.30252266410140055
22707536,A2_emotional_safety,-0.8082177111074355,-0.027051084100438924
23518136,A2_emotional_safety,0.7368392907063842,-1.4325131667474735
27394781,A2_emotional_safety,1.6998915545110176,0.9391008315487859
28675670,A2_emotional_safety,0.41986196713706125,-0.6356666712380298
28869598,A2_emotional_safety,-0.23756768756759333,-0.2605612973061513
28963772,A2_emotional_safety,1.30087738532529,0.6792949723933969
29424551,A2_emotional_safety,0.4994686458543252,-1.1454856082140719
29939161,A2_emotional_safety,1.8411449446392707,-1.4953262865011612
30291077,A2_emotional_safety,-1.3518068965525245,-0.28715637551773815
30618705,A2_emotional_safety,0.16540150031767664,0.6995012280882604
30627346,A2_emotional_safety,-0.5703837123917617,-0.4508569081405508
306364,A2_emotional_safety,0.9148966598866939,0.2091079627870047
31276376,A2_emotional_safety,1.8703831549260983,1.0846367229276572
31424202,A2_emotional_safety,-0.16245932940825888,0.3377266664223064
31625455,A2_emotional_safety,-0.5661885384599497,0.30491807300514767
32195234,A2_emotional_safety,-1.4079722920968958,0.30399489571952215
33743772,A2_emotional_safety,0.3492982047111992,1.153896047848858
34272677,A2_emotional_safety,-1.046725202595242,-0.9165702362313961
34322023,A2_emotional_safety,0.2264804192636586,0.3278531900901675
