outcome,model,axis,N,power,sign_stability
avg_rating_bayes,OLS (no author FE),AX_explicitness,10000,0.996,0.0
avg_rating_bayes,OLS (no author FE),AX_attraction,10000,1.0,1.0
avg_rating_bayes,OLS (no author FE),AX_status_dominance,12000,0.248,0.104
avg_rating_bayes,OLS (no author FE),AX_drama_obstacle,12000,0.176,0.164
avg_rating_bayes,OLS (no author FE),AX_payoff_safety,12000,0.332,0.0
avg_rating_bayes,OLS (no author FE),AX_negative_affect,12000,0.932,0.0
avg_rating_bayes,OLS (no author FE),AX_explicitness,12000,0.996,0.0
avg_rating_bayes,OLS (no author FE),AX_attraction,12000,1.0,1.0
avg_rating_bayes,OLS (no author FE),AX_status_dominance,15000,0.312,0.06
avg_rating_bayes,OLS (no author FE),AX_drama_obstacle,15000,0.184,0.136
avg_rating_bayes,OLS (no author FE),AX_payoff_safety,15000,0.448,0.004
avg_rating_bayes,OLS (no author FE),AX_negative_affect,15000,0.972,0.0
avg_rating_bayes,OLS (no author FE),AX_explicitness,15000,1.0,0.0
avg_rating_bayes,OLS (no author FE),AX_attraction,15000,1.0,1.0
avg_rating_bayes,OLS (no author FE),AX_status_dominance,20000,0.432,0.048
avg_rating_bayes,OLS (no author FE),AX_drama_obstacle,20000,0.26,0.088
avg_rating_bayes,OLS (no author FE),AX_payoff_safety,20000,0.576,0.008
avg_rating_bayes,OLS (no author FE),AX_negative_affect,20000,0.992,0.0
avg_rating_bayes,OLS (no author FE),AX_explicitness,20000,1.0,0.0
avg_rating_bayes,OLS (no author FE),AX_attraction,20000,1.0,1.0
avg_rating_bayes,Author FE (within-author),AX_status_dominance,6000,1.0,0.0
avg_rating_bayes,Author FE (within-author),AX_drama_obstacle,6000,1.0,1.0
avg_rating_bayes,Author FE (within-author),AX_payoff_safety,6000,1.0,1.0
avg_rating_bayes,Author FE (within-author),AX_negative_affect,6000,1.0,0.0
avg_rating_bayes,Author FE (within-author),AX_explicitness,6000,1.0,1.0
avg_rating_bayes,Author FE (within-author),AX_attraction,6000,1.0,1.0
avg_rating_bayes,Author FE (within-author),AX_status_dominance,8000,1.0,0.0
avg_rating_bayes,Author FE (within-author),AX_drama_obstacle,8000,1.0,1.0
avg_rating_bayes,Author FE (within-author),AX_payoff_safety,8000,1.0,1.0
avg_rating_bayes,Author FE (within-author),AX_negative_affect,8000,1.0,0.0
avg_rating_bayes,Author FE (within-author),AX_explicitness,8000,1.0,1.0
avg_rating_bayes,Author FE (within-author),AX_attraction,8000,1.0,1.0
avg_rating_bayes,Author FE (within-author),AX_status_dominance,10000,1.0,0.0
avg_rating_bayes,Author FE (within-author),AX_drama_obstacle,10000,1.0,1.0
avg_rating_bayes,Author FE (within-author),AX_payoff_safety,10000,1.0,1.0
avg_rating_bayes,Author FE (within-author),AX_negative_affect,10000,1.0,0.0
avg_rating_bayes,Author FE (within-author),AX_explicitness,10000,1.0,1.0
avg_rating_bayes,Author FE (within-author),AX_attraction,10000,1.0,1.0
avg_rating_bayes,Author FE (within-author),AX_status_dominance,12000,1.0,0.0
avg_rating_bayes,Author FE (within-author),AX_drama_obstacle,12000,1.0,1.0
avg_rating_bayes,Author FE (within-author),AX_payoff_safety,12000,1.0,1.0
avg_rating_bayes,Author FE (within-author),AX_negative_affect,12000,1.0,0.0
avg_rating_bayes,Author FE (within-author),AX_explicitness,12000,1.0,1.0
avg_rating_bayes,Author FE (within-author),AX_attraction,12000,1.0,1.0
avg_rating_bayes,Author FE (within-author),AX_status_dominance,15000,1.0,0.0
avg_rating_bayes,Author FE (within-author),AX_drama_obstacle,15000,1.0,1.0
avg_rating_bayes,Author FE (within-author),AX_payoff_safety,15000,1.0,1.0
avg_rating_bayes,Author FE (within-author),AX_negative_affect,15000,1.0,0.0
avg_rating_bayes,Author FE (within-author),AX_explicitness,15000,1.0,1.0
avg_rating_bayes,Author FE (within-author),AX_attraction,15000,1.0,1.0
avg_rating_bayes,Author FE (within-author),AX_status_dominance,20000,1.0,0.0
avg_rating_bayes,Author FE (within-author),AX_drama_obstacle,20000,1.0,1.0
avg_rating_bayes,Author FE (within-author),AX_payoff_safety,20000,1.0,1.0
avg_rating_bayes,Author FE (within-author),AX_negative_affect,20000,1.0,0.0
avg_rating_bayes,Author FE (within-author),AX_explicitness,20000,1.0,1.0
avg_rating_bayes,Author FE (within-author),AX_attraction,20000,1.0,1.0
